# Taxon Label, Partition Group (0 or 1), Fiedler Value
T700,1,-0.018473
T979,1,-0.019012
T34,1,0.001791
T37,1,0.008571
T707,1,0.008563
T337,1,-0.000230
T73,1,-0.000222
T857,1,-0.000222
T795,1,-0.000224
T102,1,-0.000228
T903,1,-0.000228
T634,1,0.020683
T52,1,0.020682
T230,1,0.020683
T147,1,0.020525
T888,1,0.020305
T688,1,0.020305
T513,1,0.020305
T198,1,0.017382
T8,1,0.017383
T180,1,0.017299
T915,1,0.017309
T666,1,-0.004426
T821,1,-0.002405
T293,1,-0.112622
T174,1,-0.112631
T22,1,-0.112629
T682,1,-0.125711
T770,1,-0.125721
T112,1,-0.174642
T539,1,-0.174648
T369,1,-0.174649
T686,1,-0.174544
T25,1,-0.008757
T959,1,-0.006613
T415,1,-0.006605
T555,1,-0.017248
T469,1,-0.017220
T698,1,-0.017214
T214,1,-0.018222
T923,1,-0.018233
T361,1,-0.018234
T856,1,-0.005419
T847,1,-0.005413
T982,1,0.023668
T759,1,0.023666
T411,1,0.023369
T457,1,0.023377
T969,1,-0.130974
T130,1,-0.130923
T358,1,-0.113512
T582,1,0.075622
T194,1,-0.030616
T430,1,-0.024067
T404,1,-0.024074
T199,1,-0.024078
T572,1,-0.024078
T743,1,-0.024075
T103,1,-0.024075
T181,1,-0.024075
T64,1,-0.024109
T363,1,-0.024178
T749,1,-0.024168
T220,1,-0.024159
T71,1,-0.024159
T153,1,-0.015238
T557,1,-0.015236
T250,1,-0.015238
T567,1,-0.015253
T991,1,-0.015251
T93,1,-0.015259
T371,1,-0.017471
T345,1,-0.017475
T285,1,-0.017484
T875,1,-0.017478
T910,1,-0.017485
T536,1,-0.017491
T972,1,-0.019365
T604,1,-0.019360
T226,1,0.008538
T364,1,0.008539
T909,1,0.008539
T773,1,-0.140264
T453,1,-0.140502
T483,1,-0.140501
T778,1,-0.140499
T746,1,-0.140507
T878,1,-0.140507
T977,1,-0.140510
T403,0,0.219154
T78,0,0.219003
T461,0,0.218994
T62,1,-0.003198
T973,1,-0.003199
T54,1,-0.003199
T789,1,-0.003199
T6,1,-0.003193
T987,1,-0.003193
T689,1,-0.003201
T532,1,-0.009074
T72,1,-0.010537
T690,1,-0.010542
T981,1,-0.010542
T944,1,-0.010561
T272,1,0.040758
T170,1,0.040930
T760,1,0.068018
T342,1,0.068033
T654,1,0.068036
T960,1,0.068035
T940,1,0.101942
T155,1,0.101894
T971,1,0.101894
T1000,1,0.113512
T798,1,0.113512
T841,1,0.113511
T398,1,0.113988
T360,1,0.113996
T753,1,0.114001
T900,1,0.114001
T306,1,0.114009
T850,1,0.114009
T719,1,0.114010
T955,1,0.114010
T815,1,0.113987
T725,1,0.110824
T16,1,0.110689
T39,1,0.110791
T564,1,0.111564
T175,1,0.111565
T75,1,0.111651
T918,1,0.111653
T714,1,0.111002
T481,1,-0.015842
T989,1,-0.001053
T485,1,-0.001053
T823,1,-0.001100
T407,1,-0.001100
T584,1,0.000863
T427,1,-0.002872
T264,1,0.084376
T91,1,0.154725
T704,1,0.154724
T221,1,0.154724
T967,1,0.074971
T291,1,0.173219
T339,1,0.044670
T622,1,-0.018656
T785,1,-0.018656
T501,1,-0.018655
T436,1,-0.018655
T349,1,-0.018655
T671,1,-0.018655
T63,1,-0.018655
T374,1,-0.018655
T311,1,-0.018655
T836,1,-0.018653
T566,1,-0.018653
T799,1,-0.018653
T244,1,-0.018653
T47,1,-0.018653
T627,1,-0.018653
T355,1,-0.018653
T597,1,-0.018653
T673,1,-0.018653
T309,1,-0.018654
T148,1,-0.018654
T183,1,-0.018655
T835,1,-0.018655
T167,1,-0.018656
T456,1,-0.018656
T896,1,-0.018655
T433,1,-0.018655
T4,1,-0.018656
T248,1,-0.018652
T796,1,-0.018654
T36,1,-0.018655
T994,1,-0.018655
T247,1,-0.018655
T565,1,-0.018655
T709,1,-0.018663
T134,1,-0.018660
T372,1,-0.018660
T635,1,-0.018659
T556,1,-0.018657
T212,1,-0.018658
T139,1,-0.018667
T670,1,-0.017742
T176,1,-0.017740
T928,1,-0.017737
T26,1,-0.017738
T187,1,-0.017738
T610,1,-0.017738
T573,1,-0.017738
T177,1,-0.017738
T182,1,-0.017738
T365,1,-0.018853
T113,1,-0.018160
T493,1,-0.018162
T329,1,-0.018162
T56,1,-0.018162
T377,1,-0.018158
T685,1,-0.018155
T450,1,-0.018159
T11,1,-0.018157
T664,1,-0.018158
T931,1,-0.018157
T218,1,-0.017990
T402,1,-0.017990
T474,1,-0.017990
T426,1,-0.017971
T118,1,-0.017372
T957,1,-0.017372
T106,1,-0.017372
T528,1,-0.017394
T154,1,-0.017382
T150,1,-0.017382
T466,1,-0.017354
T954,1,-0.017353
T656,1,-0.017353
T808,1,-0.017353
T511,1,-0.017373
T440,1,-0.017373
T80,1,-0.017377
T583,1,0.000413
T696,1,0.002356
T15,1,0.003007
T196,1,0.003005
T322,1,0.035929
