# Taxon Label, Partition Group (0 or 1), Fiedler Value
T1849,0,-0.013787
T281,0,-0.013787
T640,0,-0.013746
T172,0,-0.013746
T82,0,-0.013746
T1637,0,-0.013746
T1132,0,-0.013787
T67,0,-0.013746
T5,0,-0.013746
T1030,0,-0.013787
T1717,0,-0.013746
T1922,0,-0.013746
T1368,0,-0.013746
T554,0,-0.013746
T276,0,-0.013919
T1829,0,-0.013919
T657,0,-0.013919
T1308,0,-0.013919
T1321,0,-0.013750
T487,0,-0.013750
T1014,0,-0.013834
T594,0,-0.013876
T895,0,-0.013876
T1700,0,-0.013876
T1087,0,-0.013834
T1379,0,-0.013877
T500,0,-0.013834
T737,0,-0.013825
T161,0,-0.013825
T1482,0,-0.013867
T224,0,-0.013867
T1690,0,-0.013825
T1388,0,-0.013825
T1789,0,-0.013783
T1342,0,-0.013783
T1066,0,-0.013783
T1934,0,-0.013783
T804,0,-0.013825
T780,0,-0.013783
T316,0,-0.013783
T1685,0,-0.013783
T1939,0,-0.013708
T1053,0,-0.013708
T1611,0,-0.013995
T1350,0,-0.013995
T569,0,-0.013995
T141,0,-0.013910
T1468,0,-0.013910
T1511,0,-0.013910
T868,0,-0.013910
T3,0,-0.013910
T631,0,-0.013910
T1319,0,-0.013910
T1338,0,-0.013868
T68,0,-0.013912
T645,0,-0.013868
T1885,0,-0.013868
T1301,0,-0.013868
T1687,0,-0.013868
T1363,0,-0.013910
T1428,0,-0.013868
T1219,0,-0.013868
T402,0,-0.013996
T704,0,-0.013996
T505,0,-0.013996
T723,0,-0.013996
T533,0,-0.014039
T983,0,-0.013996
T1043,0,-0.013996
T820,0,-0.014038
T1437,0,-0.014038
T1047,0,-0.014039
T1759,0,-0.013996
T1994,0,-0.013996
T703,0,-0.014039
T1910,0,-0.013996
T1915,0,-0.014391
T86,0,-0.014391
T1948,0,-0.014391
T406,0,-0.014391
T393,0,-0.014391
T97,0,-0.014482
T1825,0,-0.014391
T1865,0,-0.014391
T1129,0,-0.014391
T1760,0,-0.014391
T1897,0,-0.014436
T1516,0,-0.014391
T358,0,-0.014391
T1375,0,-0.014436
T1042,0,-0.014482
T1665,0,-0.014436
T149,0,-0.014391
T1736,0,-0.014391
T607,0,-0.014436
T22,0,-0.014391
T114,0,-0.014391
T1528,0,-0.014391
T304,0,-0.014391
T121,0,-0.014391
T1336,0,-0.014391
T1853,0,-0.014436
T618,0,-0.014436
T416,0,-0.014436
T473,0,-0.014391
T1451,0,-0.014391
T1059,0,-0.014436
T672,0,-0.014436
T1424,0,-0.014436
T1771,0,-0.014436
T70,0,-0.014436
T749,0,-0.014391
T959,0,-0.014391
T725,0,-0.014436
T740,0,-0.014482
T74,0,-0.014482
T1273,0,-0.014482
T2,0,-0.014436
T1742,0,-0.014436
T65,0,-0.014436
T576,0,-0.014437
T1840,0,-0.014437
T759,0,-0.014436
T174,0,-0.014575
T309,0,-0.014575
T1101,0,-0.014621
T48,0,-0.014668
T713,0,-0.014621
T1017,0,-0.014621
T1936,0,-0.014715
T1757,0,-0.014621
T1463,0,-0.014621
T1855,0,-0.014621
T1211,0,-0.014621
T460,0,-0.014621
T1798,0,-0.014438
T314,0,-0.014438
T49,0,-0.014438
T1420,0,-0.014438
T200,0,-0.014438
T253,0,-0.014438
T331,0,-0.014347
T705,0,-0.014347
T16,0,-0.014347
T609,0,-0.014438
T143,0,-0.014393
T644,0,-0.014259
T1142,0,-0.014437
T1965,0,-0.014437
T1819,0,-0.014315
T1169,0,-0.014345
T1190,0,-0.014345
T1455,0,-0.014345
T1898,0,-0.014345
T760,0,-0.014376
T351,0,-0.014376
T1871,0,-0.014376
T589,0,-0.014345
T1917,0,-0.014408
T847,0,-0.014408
T1460,0,-0.014346
T239,0,-0.014346
T183,0,-0.014346
T829,0,-0.014346
T1985,0,-0.014346
T1037,0,-0.014346
T325,0,-0.014346
T1352,0,-0.014346
T1345,0,-0.014346
T1140,0,-0.014378
T1449,0,-0.014378
T647,0,-0.014378
T1153,0,-0.014409
T241,0,-0.014378
T228,0,-0.014378
T164,0,-0.014378
T1706,0,-0.014159
T558,0,-0.014159
T485,0,-0.014190
T357,0,-0.014190
T1203,0,-0.014190
T1255,0,-0.014221
T1123,0,-0.014221
T955,0,-0.014221
T1385,0,-0.014221
T181,0,-0.014221
T1430,0,-0.014190
T573,0,-0.014221
T486,0,-0.014221
T1585,0,-0.014221
T516,0,-0.014190
T510,0,-0.014190
T1958,0,-0.014190
T1450,0,-0.014190
T1313,0,-0.014190
T924,0,-0.014221
T151,0,-0.014252
T1663,0,-0.014190
T29,0,-0.014190
T1217,0,-0.014190
T769,0,-0.014190
T1976,0,-0.014190
T425,0,-0.014190
T751,0,-0.014190
T1870,0,-0.014190
T767,0,-0.014253
T540,0,-0.014253
T1573,0,-0.014253
T1427,0,-0.014284
T1549,0,-0.014253
T11,0,-0.014284
T724,0,-0.014315
T1222,0,-0.014283
T1146,0,-0.014283
T590,0,-0.014283
T890,0,-0.014283
T1408,0,-0.014315
T912,0,-0.014315
T1400,0,-0.014315
T1331,0,-0.014315
T560,0,-0.014284
T222,0,-0.014253
T746,0,-0.014253
T221,0,-0.014253
T1998,0,-0.014222
T14,0,-0.014253
T1075,0,-0.014191
T78,0,-0.014191
T407,0,-0.014191
T1919,0,-0.014191
T375,0,-0.014191
T852,0,-0.014191
T1196,0,-0.014191
T1924,0,-0.014191
T450,0,-0.014191
T1012,0,-0.014191
T639,0,-0.014191
T1365,0,-0.014222
T603,0,-0.014222
T531,0,-0.014253
T1808,0,-0.014222
T1872,0,-0.014191
T187,0,-0.014191
T1325,0,-0.014191
T662,0,-0.014191
T664,0,-0.014191
T246,0,-0.014281
T543,0,-0.014281
T819,0,-0.014281
T580,0,-0.014312
T1505,0,-0.014312
T1837,0,-0.014312
T649,0,-0.014312
T38,0,-0.014312
T496,0,-0.014312
T1907,0,-0.014344
T731,0,-0.014344
T1220,0,-0.014344
T412,0,-0.014312
T719,0,-0.014312
T1359,0,-0.014312
T712,0,-0.014312
T1929,0,-0.014312
T370,0,-0.014312
T1841,0,-0.014344
T334,0,-0.014344
T565,0,-0.014375
T1356,0,-0.014344
T1770,0,-0.014344
T376,0,-0.014375
T1741,0,-0.014375
T961,0,-0.014287
T1369,0,-0.014281
T1263,0,-0.014281
T220,0,-0.014281
T1243,0,-0.014281
T1501,0,-0.014281
T1671,0,-0.014281
T93,0,-0.014344
T899,0,-0.014281
T977,0,-0.014312
T548,0,-0.014281
T1653,0,-0.014281
T1815,0,-0.014281
T1038,0,-0.014281
T296,0,-0.014281
T1935,0,-0.014281
T742,0,-0.014281
T1228,0,-0.014281
T1645,0,-0.014344
T353,0,-0.014344
T317,0,-0.014312
T215,0,-0.014284
T1583,0,-0.014284
T1307,0,-0.014284
T197,0,-0.014284
T208,0,-0.014253
T1595,0,-0.014253
T1347,0,-0.014253
T1288,0,-0.014253
T582,0,-0.014253
T382,0,-0.014284
T928,0,-0.014284
T992,0,-0.014284
T1159,0,-0.014253
T979,0,-0.014315
T1062,0,-0.014410
T1401,0,-0.014441
T1848,0,-0.014410
T1747,0,-0.014410
T581,0,-0.014346
T1293,0,-0.014346
T476,0,-0.014346
T396,0,-0.014346
T701,0,-0.014378
T1894,0,-0.014441
T203,0,-0.014378
T974,0,-0.014378
T1221,0,-0.014410
T1860,0,-0.014410
T1673,0,-0.014378
T390,0,-0.014378
T1323,0,-0.014378
T1769,0,-0.014378
T184,0,-0.014473
T758,0,-0.014473
T1884,0,-0.014410
T1793,0,-0.014410
T1261,0,-0.014410
T1032,0,-0.014441
T1156,0,-0.014441
T463,0,-0.014473
