# Taxon Label, Partition Group (0 or 1), Fiedler Value
T343,1,-0.001464
T699,1,-0.001464
T2212,1,-0.001464
T1857,1,-0.001465
T2050,1,-0.001465
T1031,1,-0.008328
T1157,1,-0.008328
T806,1,-0.008329
T410,1,-0.008329
T2289,1,-0.008329
T2732,1,-0.008328
T2368,1,-0.008328
T2057,1,-0.002398
T190,1,-0.002398
T341,1,-0.002398
T2393,1,-0.002398
T2126,1,-0.002398
T2485,1,-0.002398
T498,1,-0.002398
T381,1,-0.002398
T2052,1,-0.002398
T2380,1,-0.002398
T437,1,-0.002398
T2417,1,-0.002398
T312,1,-0.002398
T1900,1,-0.002396
T387,1,-0.002396
T1778,1,-0.002396
T1981,1,-0.002395
T456,1,-0.002395
T1781,1,-0.002395
T68,1,-0.002395
T2607,1,-0.002396
T470,1,-0.002396
T181,1,-0.002398
T59,1,-0.002398
T2059,1,-0.002398
T2508,1,-0.002398
T901,1,-0.002398
T1099,1,-0.003729
T635,1,-0.003729
T1529,1,-0.003729
T1162,1,-0.003729
T72,1,-0.003729
T2641,1,-0.003729
T1930,1,-0.003729
T702,1,-0.003729
T1852,1,-0.003729
T2602,1,-0.003706
T793,1,-0.000034
T1484,1,-0.000033
T2141,1,-0.000032
T2874,1,-0.000032
T150,1,-0.000032
T1962,1,-0.000032
T788,1,-0.000031
T1200,1,-0.000032
T496,1,-0.000031
T512,1,-0.000031
T221,1,-0.000032
T1117,1,-0.000032
T474,1,-0.001991
T1151,1,-0.001991
T670,1,-0.001992
T1145,1,-0.001992
T2768,1,-0.001992
T1990,1,-0.001992
T122,1,-0.001992
T287,1,-0.001992
T488,1,-0.001992
T2340,1,-0.001992
T1358,1,-0.002293
T1111,1,-0.002292
T2241,1,-0.002291
T2088,1,-0.002291
T847,1,-0.002291
T277,1,-0.002291
T1986,1,-0.003782
T2077,1,-0.003782
T2721,1,-0.003772
T625,1,-0.003772
T348,1,-0.003991
T1893,1,-0.003991
T1283,1,-0.003990
T2449,1,-0.003990
T2484,1,-0.003989
T1507,1,-0.003962
T2353,1,-0.003943
T1347,1,-0.003948
T2358,1,-0.004062
T1460,1,-0.004063
T985,1,-0.004062
T458,1,-0.004062
T2722,1,-0.004063
T1546,1,-0.004062
T2926,1,-0.004062
T1316,1,-0.004062
T1112,1,-0.004062
T2542,1,-0.004062
T2229,1,-0.004062
T568,1,-0.004062
T2315,1,-0.004061
T1345,1,-0.004061
T2039,1,-0.004060
T2445,1,-0.004059
T1277,1,-0.004059
T525,1,-0.003639
