# Taxon Label, Partition Group (0 or 1), Fiedler Value
T2579,0,-0.011093
T1088,0,-0.011092
T2367,0,-0.011092
T456,0,-0.006154
T487,0,-0.001271
T740,1,0.004205
T872,1,0.004205
T54,1,0.004205
T881,1,0.004205
T2140,1,0.004205
T208,1,0.004205
T552,1,0.004205
T1396,1,0.004205
T2515,1,0.004211
T277,1,0.004215
T92,1,0.004215
T2151,1,0.004223
T1044,1,0.004223
T1528,1,0.004222
T1763,1,0.004223
T952,1,0.004195
T2346,1,0.004195
T2821,1,0.004195
T1916,1,0.004195
T1362,1,0.004195
T2222,1,0.004195
T1804,1,0.004194
T2242,1,0.004194
T638,1,0.004195
T93,1,0.004195
T383,1,0.004195
T43,1,0.004195
T2547,1,0.004195
T2658,1,0.004195
T2112,1,0.004195
T895,1,0.004195
T2491,1,0.004195
T1901,1,0.009497
T1541,1,0.009491
T946,1,0.009589
T2744,1,0.009592
T1557,1,0.009591
T991,1,0.009590
T1140,1,0.009590
T2392,1,0.009590
T95,1,0.009589
T2219,1,0.009589
T2549,1,0.009589
T127,1,0.009589
T1895,1,0.009589
T989,1,0.009592
T622,1,0.009601
T2728,1,0.009599
T2490,1,0.009599
T1717,1,0.009599
T484,1,0.009601
T1923,1,0.009597
T1430,1,0.009597
T6,1,0.009597
T1112,1,0.009597
T1051,1,0.009598
T1779,1,0.009583
T691,1,0.009584
T1700,1,0.009589
T233,1,0.008461
T607,1,0.008461
T1812,1,0.008462
T514,1,0.008462
T2024,1,0.008462
T144,1,0.008462
T1831,1,0.008462
T305,1,0.008463
T933,1,0.008463
T2312,1,0.008463
T1933,1,0.008463
T2468,1,0.008463
T970,1,0.008463
T1406,1,0.008358
T422,1,0.008358
T2192,1,0.008359
T833,1,0.007553
T1183,0,-0.003858
T1549,0,-0.003858
T2300,0,-0.003858
T2938,0,-0.003858
T1339,0,-0.003858
T744,0,-0.003858
T2706,0,-0.003858
T2264,0,-0.003858
T251,0,-0.003858
T840,0,-0.003858
T53,0,-0.003858
T2999,0,-0.003858
T699,0,-0.006154
T2803,0,-0.006154
T1223,0,-0.009394
T736,0,-0.002957
T238,0,-0.002957
T2155,0,-0.002956
T2038,0,-0.002956
T2883,0,-0.002956
T2053,0,-0.002956
T1721,0,-0.002956
T1965,0,-0.002956
T153,0,-0.002957
T1719,0,-0.002957
T2137,0,-0.002957
T1798,0,-0.002957
T467,0,-0.002957
T2991,0,-0.002957
T778,0,-0.002957
T2127,0,-0.002957
T1611,0,-0.002957
T922,0,-0.002957
T384,0,-0.002957
T1460,0,-0.002957
T762,0,-0.002967
T1686,0,-0.002966
T1556,0,-0.002966
T2352,0,-0.002963
T1758,0,-0.002962
T526,0,-0.002961
T1890,0,-0.002960
T2043,0,-0.002960
T1275,0,-0.002960
T2205,0,-0.002960
T2390,0,-0.002960
T2111,0,-0.002960
T1168,0,-0.002960
T2082,0,-0.002960
T1310,0,-0.002959
T376,0,-0.002959
T2591,0,-0.002908
T2387,0,-0.002908
T297,0,-0.002908
T44,0,-0.002889
T68,0,-0.002889
T2575,0,-0.002892
T2733,1,0.001551
