# Taxon Label, Partition Group (0 or 1), Fiedler Value
T547,1,0.009661
T244,1,0.009662
T798,1,0.009658
T1373,1,0.011398
T364,1,0.011395
T2247,1,0.011395
T2916,1,0.011393
T2334,1,0.011377
T1375,1,0.011392
T850,1,0.011402
T2779,1,0.011400
T698,1,0.011405
T812,1,0.011403
T538,1,0.011395
T1557,1,0.011404
T7,1,0.011404
T1015,1,0.011403
T576,1,0.011403
T1815,1,0.011368
T249,1,0.011373
T1169,1,0.011365
T1290,1,0.011361
T56,1,0.011361
T795,1,0.011372
T2936,1,0.011370
T672,1,0.011359
T572,1,0.011356
T1771,1,0.011359
T1285,1,0.011359
T433,1,0.011361
T2546,1,0.011311
T1729,1,0.011308
T1422,1,0.011308
T2351,1,0.011406
T1892,1,0.011412
T235,1,0.011382
T2330,1,0.011410
T1368,1,0.011393
T1675,1,0.005154
T1574,1,0.005116
T253,1,0.005120
T1737,1,0.005118
T1977,1,0.005118
T2110,1,0.005114
T2668,1,0.005113
T2817,1,0.005114
T2124,1,0.005284
T829,1,0.005275
T1274,1,0.005278
T2874,1,0.005336
T341,1,0.005332
T2758,1,0.005332
T68,1,0.005330
T487,1,0.005327
T1262,1,0.005525
T2277,1,0.005130
T1692,1,0.005132
T925,1,0.005133
T188,1,0.005133
T2587,1,0.004348
T2839,1,0.004347
T2897,1,0.004348
T549,1,0.004348
T2995,1,0.004346
T891,1,0.004344
T152,1,0.004343
T107,1,0.004352
T2741,1,0.005830
T2704,1,0.005831
T2167,1,0.005831
T1318,1,0.001745
T650,1,0.001601
T474,1,0.017770
T2049,1,0.017769
T1020,1,0.017774
T1286,1,0.017774
T1865,1,0.017762
T1189,1,0.017774
T1624,1,0.017901
T2552,1,0.017916
T1193,1,0.017916
T1252,1,0.017916
T2259,1,0.017916
T199,1,0.017916
T2781,1,0.017917
T1398,1,0.017916
T1351,1,0.016957
T920,1,0.016939
T192,1,0.016940
T589,1,0.016939
T1536,1,0.016940
T2008,1,0.012867
T1204,1,0.012873
T2240,1,0.012877
T2335,1,0.012879
T6,1,0.012867
T2301,1,0.012865
T2858,1,0.012859
T236,1,0.012838
T2109,1,0.012835
T1750,0,0.028915
T38,0,0.028902
T2388,0,0.029376
T2890,0,0.028979
T2719,0,0.028903
T34,0,0.029009
T887,0,0.029009
T83,0,0.029012
T2264,0,0.029017
T1998,1,0.013823
T1374,1,0.013789
T860,1,0.013822
T1221,1,0.013822
T2961,1,0.013822
T1539,1,0.013821
T848,1,0.013706
T1391,1,0.013514
T581,1,0.013698
T1361,1,0.013643
T841,1,0.013655
T2542,1,0.013655
T497,1,0.013648
T2566,1,0.013648
T2729,1,0.013644
T534,1,0.013608
T1429,1,0.013622
T2716,1,0.013894
T1147,1,0.013896
T1504,1,0.013896
T2087,1,0.013897
T2226,1,0.013540
T1880,1,0.013371
T2156,1,0.013371
T1541,1,0.013370
T988,1,0.013361
T121,1,0.013532
T2138,1,0.013423
T1628,1,0.013462
T1895,1,0.013381
T2074,1,0.013496
T990,1,0.013497
T392,1,0.013497
T2218,1,0.013497
T98,1,0.013497
T2451,1,0.013495
T2676,1,0.013493
T1172,1,0.013491
T2755,1,0.013494
T1964,1,0.013558
T394,1,0.013556
T1957,1,0.013559
T284,1,0.013559
T551,1,0.013560
T1457,1,0.013560
T1809,1,0.013556
T1370,1,0.013560
T1042,1,0.013559
T506,1,0.013558
T1076,1,0.013548
T2653,1,0.013546
T2966,1,0.013546
T73,1,0.013546
T215,1,0.013546
T1777,1,0.013544
T143,1,0.013544
T291,1,0.013544
T2090,1,0.013545
T161,1,0.013545
T510,1,0.013546
T2688,1,0.013546
T2136,1,0.013544
T1485,1,0.013283
T2574,1,0.013309
T2434,1,0.013312
T691,1,0.013664
T2533,1,0.013665
T418,1,0.013659
T670,1,0.013657
T514,1,0.013657
T2770,1,0.013657
T319,1,0.013654
T2973,1,0.013657
T2659,1,0.013660
T692,1,0.013661
T1090,1,0.013653
T675,1,0.013661
T1038,1,0.013633
T54,1,0.013744
T456,1,0.013675
T1567,1,0.013665
T1696,1,0.013667
T2235,1,0.013665
T805,1,0.013665
T921,1,0.013665
T2378,1,0.013665
T356,1,0.012870
T1538,1,0.012870
T2691,1,0.012871
T1918,1,0.012869
T2543,1,0.012800
T125,1,0.012838
T422,1,0.012837
T2127,1,0.012830
T1382,1,0.012841
T1247,1,0.012833
T1996,1,0.012835
T8,1,0.014106
T1583,1,0.014114
T58,1,0.014078
T1484,1,0.014077
T2079,1,0.012779
T142,1,0.012786
T994,1,0.012778
T1739,1,0.012778
T1049,1,0.012776
T365,1,0.012770
T1145,1,0.012506
T218,1,0.012504
T619,1,0.012349
T126,1,0.012368
T1022,1,0.012945
T834,1,0.012893
T2601,1,0.012894
T2196,1,0.010759
T228,1,0.011117
T2158,1,0.011120
T2272,1,0.011119
T2665,1,0.011115
T2767,1,0.011117
T435,1,0.011117
T390,1,0.011118
T751,1,0.011109
T299,1,0.011114
T4,1,0.010623
T250,1,0.010623
T48,1,0.011017
T2526,1,0.011027
T2040,1,0.011025
T1104,1,0.011022
T2306,1,0.011008
T2823,1,0.011017
T2092,1,0.011017
T429,1,0.011001
T2609,1,0.010963
T1933,1,0.010929
T2402,1,0.011101
T41,1,0.011100
T2057,1,0.011068
T2194,1,0.011067
T16,1,0.011067
T2338,1,0.011069
T2161,1,0.011070
T1051,1,0.011071
T1600,1,0.011079
T2893,1,0.011061
T2462,1,0.011074
T1072,1,0.011084
T2821,1,0.011084
T2497,1,0.011084
T1231,1,0.011084
T907,1,0.011085
T2151,1,0.011084
T559,1,0.011085
T642,1,0.011078
T2892,1,0.011081
T2816,1,0.011084
T2365,1,0.010941
T2037,1,0.010917
T1670,1,0.010923
T933,1,0.010923
T794,1,0.010779
T2943,1,0.010755
T2579,1,0.010235
T1315,1,0.010231
T1501,1,0.010746
T587,1,0.010745
T2478,1,0.010745
T2750,1,0.010745
T443,1,0.010745
T2561,1,0.010743
T525,1,0.010746
T763,1,0.010744
T2209,1,0.010746
T986,1,0.010748
T18,1,0.010758
T2735,1,0.010758
T1309,1,0.010757
T1199,1,0.010757
T1708,1,0.010757
T2857,1,0.010757
T1190,1,0.010758
T1885,1,0.010788
T139,1,0.010743
T2248,1,0.010747
T1523,1,0.010734
T2545,1,0.010797
T2919,1,0.010797
T1573,1,0.010797
T800,1,0.010796
T1500,1,0.010799
T2940,1,0.010809
T2286,1,0.010809
T1512,1,0.010687
T2759,1,0.010687
T2270,1,0.010689
T1258,1,0.010687
T2818,1,0.010687
T272,1,0.010687
T2327,1,0.010687
T2592,1,0.010683
T2015,1,0.010683
T2461,1,0.010716
T2853,1,0.010719
T723,1,0.010695
T2600,1,0.010670
T71,1,0.010943
T1013,1,0.010942
T2880,1,0.010942
T2180,1,0.010941
T278,1,0.010941
T1942,1,0.010942
T1530,1,0.010644
T2175,1,0.010916
T1006,1,0.010965
T55,1,0.010888
T1350,1,0.010887
T2258,1,0.010683
T482,1,0.010683
T324,1,0.010683
T498,1,0.010683
T2184,1,0.010684
T2896,1,0.010685
T875,1,0.010685
T2042,1,0.010685
T1412,1,0.010686
T1680,1,0.010685
T643,1,0.010686
T1222,1,0.010683
T1183,1,0.010684
T2555,1,0.010683
T2791,1,0.010690
T2901,1,0.010685
T1409,1,0.010685
T2794,1,0.010680
T2414,1,0.010676
T1276,1,0.010821
T238,1,0.010819
T1298,1,0.010821
T647,1,0.010821
T555,1,0.010821
T2313,1,0.010821
T2139,1,0.010820
T1776,1,0.010821
T2105,1,0.010818
T1338,1,0.010814
T1043,1,0.010814
T715,1,0.010810
T1683,1,0.010809
T65,1,0.010815
T996,1,0.010818
T977,1,0.010821
T1092,1,0.010810
T195,1,0.010810
T872,1,0.010807
T2657,1,0.010808
T1873,1,0.010808
T1078,1,0.010816
T294,1,0.010815
T2664,1,0.010580
T1556,1,0.010562
T916,1,0.010635
T108,1,0.010637
T263,1,0.010608
T489,1,0.010607
T1254,1,0.010603
T2072,1,0.010614
T2382,1,0.010613
T1150,1,0.010595
T1456,1,0.010595
T754,1,0.010595
T1833,1,0.010814
T2014,1,0.010814
T87,1,0.010615
T735,1,0.010615
T2069,1,0.010615
T2106,1,0.010615
T335,1,0.010615
T471,1,0.010615
T500,1,0.010609
T934,1,0.010614
T1508,1,0.010891
T721,1,0.010916
T542,1,0.010671
T1163,1,0.010670
T1390,1,0.010687
T1514,1,0.010682
T2627,1,0.010683
T1607,1,0.010686
T2173,1,0.010433
T936,1,0.010437
T629,1,0.010469
T2722,1,0.010473
T1335,1,0.010927
T832,1,0.010925
T1317,1,0.010926
T810,1,0.010925
T1775,1,0.010926
T350,1,0.010931
T1354,1,0.010930
T2529,1,0.010933
T1394,1,0.010914
T2431,1,0.010911
T1280,1,0.010929
T465,1,0.010939
T1506,1,0.010938
T2902,1,0.010937
T1108,1,0.010929
T1642,1,0.010937
T573,1,0.010960
T2280,1,0.010929
T1340,1,0.010906
T469,1,0.010906
T1007,1,0.010900
T630,1,0.010888
T92,1,0.010883
T1742,1,0.010886
T396,1,0.010920
T1900,1,0.010927
T879,1,0.010925
T1103,1,0.010972
T240,1,0.010964
T2515,1,0.010964
T859,1,0.010964
T90,1,0.010971
T2773,1,0.010977
T1185,1,0.010961
T2392,1,0.010962
T229,1,0.010962
T2269,1,0.010959
T1991,1,0.010965
T296,1,0.010939
T2493,1,0.010940
T2407,1,0.010940
T594,1,0.010942
T1376,1,0.010952
T2325,1,0.010960
T1120,1,0.010954
T440,1,0.010961
T1973,1,0.010958
T402,1,0.010960
T1148,1,0.010960
T133,1,0.010958
T1929,1,0.010651
T852,1,0.010732
T267,1,0.010732
T1818,1,0.010713
T23,1,0.010712
T2520,1,0.010708
T1812,1,0.010711
T2489,1,0.010738
T878,1,0.010738
T1439,1,0.010740
T696,1,0.010740
T578,1,0.010739
T1284,1,0.010740
T1613,1,0.010740
T1300,1,0.010741
T2838,1,0.010741
T315,1,0.010751
T1346,1,0.010752
T2186,1,0.010752
T2133,1,0.010749
T2195,1,0.010749
T1586,1,0.010751
T560,1,0.010751
T2807,1,0.010768
T2400,1,0.010725
T1268,1,0.010735
T1305,1,0.010740
T807,1,0.010740
T2444,1,0.010727
T1192,1,0.010736
T376,1,0.010736
T36,1,0.010733
T816,1,0.010717
T2605,1,0.010642
T248,1,0.011041
T27,1,0.011041
T1287,1,0.011041
T1099,1,0.011042
T2678,1,0.011041
T2990,1,0.011041
T1867,1,0.011036
T102,1,0.011036
T1801,1,0.011035
T1698,1,0.011049
T1040,1,0.011050
T536,1,0.011049
T2920,1,0.011048
T870,1,0.011048
T2438,1,0.011048
T2435,1,0.011047
T2623,1,0.011051
T410,1,0.011043
T2143,1,0.011044
T685,1,0.011043
T360,1,0.011044
T2185,1,0.010875
T1018,1,0.007720
T2693,1,0.007721
T1244,1,0.007711
T1030,1,0.007696
T1570,1,0.011435
T2571,1,0.011477
T61,1,0.011477
T586,1,0.011474
T842,1,0.011304
T785,1,0.011336
T14,1,0.011337
T2340,1,0.011181
T1537,1,0.011181
T2674,1,0.011147
T169,1,0.011149
T635,1,0.011139
T1343,1,0.011139
T1059,1,0.011149
T1345,1,0.011173
T2708,1,0.011179
T951,1,0.011180
T950,1,0.011182
T1386,1,0.010894
T2250,1,0.010894
T2757,1,0.011058
T1764,1,0.011061
T2991,1,0.011060
T2764,1,0.011059
T2033,1,0.011298
T2553,1,0.011298
T2445,1,0.011307
T115,1,0.010966
T930,1,0.011502
T517,1,0.011502
T2201,1,0.011502
T1671,1,0.011500
T1595,1,0.011500
T2952,1,0.011486
T2610,1,0.011488
T1644,1,0.011488
T2829,1,0.011487
T2539,1,0.011487
T2487,1,0.011488
T597,1,0.011465
T926,1,0.011465
T2373,1,0.011482
T2362,1,0.011486
T2877,1,0.011484
T2580,1,0.011483
T869,1,0.011497
T2206,1,0.011469
T2287,1,0.011474
T1058,1,0.011474
T626,1,0.011475
T371,1,0.011474
T603,1,0.011477
T446,1,0.011475
T479,1,0.011486
T2968,1,0.011487
T742,1,0.011487
T2022,1,0.011487
T2962,1,0.011488
T1630,1,0.011487
T1732,1,0.011484
T378,1,0.011467
T2501,1,0.011451
T2911,1,0.011498
T2584,1,0.011498
T932,1,0.011498
