# Taxon Label, Partition Group (0 or 1), Fiedler Value
T2641,1,0.026369
T477,1,0.028178
T2588,1,0.028162
T2536,1,0.028165
T1154,1,0.028165
T1739,1,0.028165
T505,1,0.028220
T1595,1,0.028275
T294,1,0.028155
T1491,1,0.028117
T943,1,0.028188
T441,1,0.028231
T2592,1,0.028193
T131,1,0.028193
T1005,1,0.028193
T1015,1,0.028210
T608,1,0.028266
T623,1,0.028208
T316,1,0.028208
T1069,1,0.028170
T2504,1,0.028170
T1859,1,0.028169
T481,1,0.028207
T1624,1,0.028207
T469,1,0.028209
T885,1,0.028133
T439,1,0.028133
T348,1,0.028135
T375,1,0.028135
T2624,1,0.028212
T388,1,0.028212
T1591,1,0.028172
T471,1,0.028226
T890,1,0.028211
T126,1,0.028211
T2359,1,0.028247
T1579,1,0.028095
T2278,1,0.028094
T1767,1,0.028133
T2404,1,0.028133
T2317,1,0.028133
T236,1,0.028182
T1957,1,0.028220
T2316,1,0.028179
T1700,1,0.028036
T1316,1,0.031644
T2938,1,0.031625
T2058,1,0.031677
T1032,1,0.031692
T998,1,0.031662
T2181,1,0.031602
T2852,1,0.031602
T1158,1,0.031612
T2292,1,0.031607
T266,1,0.031607
T2753,1,0.031607
T1808,1,0.031601
T41,1,0.031607
T1710,1,0.031607
T817,1,0.031607
T2769,1,0.031607
T411,1,0.031607
T486,1,0.031668
T655,1,0.031680
T2225,1,0.031680
T968,1,0.031692
T75,1,0.031692
T2415,1,0.031692
T1492,1,0.031675
T944,1,0.031738
T925,1,0.031738
T1916,1,0.031752
T984,1,0.031670
T1678,1,0.031672
T2348,1,0.031686
T2807,1,0.031625
T1272,1,0.031611
T2384,1,0.031611
T2980,1,0.031625
T746,1,0.031625
T2653,1,0.031665
T1736,1,0.031637
T2374,1,0.031653
T1599,1,0.031653
T1451,1,0.031653
T1281,1,0.031666
T418,1,0.031666
T1573,1,0.031723
T1364,1,0.031752
T2928,1,0.031751
T2106,1,0.031745
T2681,1,0.031773
T1216,1,0.031745
T279,1,0.031746
T1885,1,0.031717
T612,1,0.031717
T20,1,0.031730
T2076,1,0.031730
T1798,1,0.031754
T2551,1,0.031726
T2915,1,0.031762
T1642,1,0.031748
T1818,1,0.031760
T494,1,0.031755
T313,1,0.031741
T1555,1,0.031741
T595,1,0.031741
T771,1,0.031741
T413,1,0.031769
T161,1,0.031755
T1839,1,0.031739
T1825,1,0.031643
T981,1,0.031684
T2189,1,0.031687
T2493,1,0.031686
T2289,1,0.031686
T1609,1,0.031686
T2111,1,0.031686
T2283,1,0.031673
T2857,1,0.031694
T1933,1,0.031726
T1801,1,0.031726
T1711,1,0.031728
T869,1,0.031762
T2041,1,0.031740
T544,1,0.031740
T2855,1,0.031762
T1992,1,0.031762
T1661,1,0.031762
T854,1,0.031776
T985,1,0.031762
T1073,1,0.031771
T761,1,0.031548
T1439,1,0.031548
T1111,1,0.031548
T1545,1,0.031536
T2992,1,0.031536
T1399,1,0.031588
T2991,1,0.031588
T76,1,0.031588
T551,1,0.031568
T2211,1,0.031579
T2764,1,0.031579
T2399,1,0.031570
T856,1,0.031570
T298,1,0.031572
T220,1,0.031557
T1262,1,0.031556
T57,1,0.031604
T514,1,0.031586
T740,1,0.031596
T1125,1,0.031583
T32,1,0.031596
T1319,1,0.031596
T592,1,0.031608
T721,1,0.031629
T2961,1,0.031640
T1779,1,0.031640
T1068,1,0.031574
T499,1,0.031574
T1689,1,0.031574
T1952,1,0.031585
