# Taxon Label, Partition Group (0 or 1), Fiedler Value
T1717,0,-0.046150
T2280,0,-0.046150
T2146,0,-0.046150
T1254,0,-0.046150
T827,0,-0.046150
T1,0,-0.046150
T256,0,-0.046150
T95,0,-0.046150
T1791,0,-0.046150
T1115,0,-0.046150
T1640,0,-0.046150
T1483,0,-0.046150
T1971,0,-0.046150
T2811,0,-0.046150
T1873,0,-0.046150
T106,0,-0.046150
T1177,0,-0.046150
T1710,0,-0.046150
T389,0,-0.046150
T1227,0,-0.046150
T517,0,-0.046150
T673,0,-0.046150
T520,0,-0.046150
T2044,0,-0.046150
T667,0,-0.046150
T2065,0,-0.046150
T2461,0,-0.046150
T221,0,-0.046150
T2337,0,-0.046150
T1741,0,-0.046150
T1392,0,-0.046150
T1363,0,-0.046150
T2114,0,-0.046150
T2513,0,-0.046150
T2787,0,-0.046150
T1153,0,-0.046150
T1893,0,-0.046150
T1181,0,-0.046150
T565,0,-0.046150
T1558,0,-0.046150
T2500,0,-0.046150
T2445,0,-0.046150
T1225,0,-0.046150
T1067,0,-0.046150
T361,0,-0.046150
T2735,0,-0.046150
T2343,0,-0.046150
T813,0,-0.046150
T2238,0,-0.046150
T2359,0,-0.046150
T2096,0,-0.046150
T1148,0,-0.046150
T944,0,-0.046150
T2030,0,-0.046150
T951,0,-0.046150
T1526,0,-0.046150
T1010,0,-0.046150
T2006,0,-0.046150
T1221,0,-0.046150
T80,0,-0.046150
T2933,0,-0.046150
T467,0,-0.046150
T4,0,-0.046150
T1012,0,-0.046150
T1699,0,-0.046150
T458,0,-0.046150
T244,0,-0.046150
T2671,0,-0.046150
T1721,0,-0.046150
T2767,0,-0.046150
T2582,0,-0.046150
T1941,0,-0.046150
T1705,0,-0.046150
T933,0,-0.046150
T2645,0,-0.046150
T1657,0,-0.046150
T503,0,-0.046150
T2172,0,-0.046150
T2924,0,-0.046150
T683,0,-0.046150
T2386,0,-0.046150
T1447,0,-0.046150
T2542,0,-0.046150
T97,0,-0.046150
T1827,0,-0.046150
T2803,0,-0.046150
T2788,0,-0.046150
T152,0,-0.046150
T123,0,-0.046150
T353,0,-0.046150
T1894,0,-0.046150
T2144,0,-0.046150
T1474,0,-0.046150
T311,0,-0.046150
T890,0,-0.046150
T2952,0,-0.046150
T1456,0,-0.046150
T2962,0,-0.046150
T214,0,-0.046150
T2061,0,-0.046150
T2421,0,-0.046150
T1883,0,-0.046150
T2720,0,-0.046150
T2095,0,-0.046150
T1835,0,-0.046150
T1711,0,-0.046150
T1997,0,-0.046150
T1809,0,-0.046150
T2797,0,-0.046150
T826,0,-0.046150
T2069,0,-0.046150
T32,0,-0.046150
T2587,0,-0.046150
T2597,0,-0.046150
T930,0,-0.046150
T1992,0,-0.046150
T735,0,-0.046150
T1331,0,-0.046150
T1654,0,-0.046150
T1351,0,-0.046150
T2752,0,-0.046150
T1201,0,-0.046150
T258,0,-0.046150
T395,0,-0.046150
T560,0,-0.046150
T774,0,-0.046150
T3000,0,-0.046150
T2592,0,-0.046150
T466,0,-0.046150
T788,0,-0.046150
T1269,0,-0.046150
T348,0,-0.046150
T844,0,-0.046150
T666,0,-0.046150
T1585,0,-0.046150
T620,0,-0.046150
T2141,0,-0.046150
T9,0,-0.046150
T1864,0,-0.046150
T2409,0,-0.046150
T1541,0,-0.046150
T769,0,-0.046150
T1381,0,-0.046150
T318,0,-0.046150
T1217,0,-0.046150
T111,0,-0.046150
T1874,0,-0.046150
T223,0,-0.046150
T1426,0,-0.046150
T143,0,-0.046150
T955,0,-0.046150
T2648,0,-0.046150
T1461,0,-0.046150
T1929,0,-0.046150
T163,0,-0.046150
T93,0,-0.046150
T1851,0,-0.046150
T2732,0,-0.046150
T1093,0,-0.046150
T2439,0,-0.046150
T2897,0,-0.046150
T437,0,-0.046150
T1157,0,-0.046150
T1749,0,-0.046150
T1043,0,-0.046150
T2441,0,-0.046150
T2689,0,-0.046150
T2861,0,-0.046150
T1144,0,-0.046150
T1688,0,-0.046150
T2176,0,-0.046150
T2379,0,-0.046150
T1841,0,-0.046150
T2112,0,-0.046150
T569,0,-0.046150
T1304,0,-0.046150
T2510,0,-0.046150
T1432,0,-0.046150
T1313,0,-0.046150
T1278,0,-0.046150
T2121,0,-0.046150
T984,0,-0.046150
T1253,0,-0.046150
T2027,0,-0.046150
T895,0,-0.046150
T767,0,-0.046150
T2109,0,-0.046150
T2281,0,-0.046150
T266,0,-0.046150
T1385,0,-0.046150
T1091,0,-0.046150
T966,0,-0.046150
T850,0,-0.046150
T2660,0,-0.046150
T2025,0,-0.046150
T1154,0,-0.046150
T2922,0,-0.046150
T2483,0,-0.046150
T1252,0,-0.046150
T1972,0,-0.046150
T2881,0,-0.046150
T1804,0,-0.046150
T1779,0,-0.046150
T1690,0,-0.046150
T1127,0,-0.046150
T2601,0,-0.046150
T1673,0,-0.046150
T1542,0,-0.046150
T1370,0,-0.046150
T1925,0,-0.046150
T847,0,-0.046150
T924,0,-0.046150
T1637,0,-0.046150
T2161,0,-0.046150
T2007,0,-0.046150
T2543,0,-0.046150
T2715,0,-0.046150
T142,0,-0.046150
T2086,0,-0.046150
T304,0,-0.046150
T2467,0,-0.046150
T642,0,-0.046150
T915,0,-0.046150
T2727,0,-0.046150
T2035,0,-0.046150
T1694,0,-0.046150
T201,0,-0.046150
T1069,0,-0.046150
T1613,0,-0.046150
T2271,0,-0.046150
T1391,0,-0.046150
T1921,0,-0.046150
T21,0,-0.046150
T2313,0,-0.046150
T883,0,-0.046150
T2442,0,-0.046150
T1619,0,-0.046150
T85,0,-0.046150
T1797,0,-0.046150
T740,0,-0.046150
T1977,0,-0.046150
T478,0,-0.046150
T1080,0,-0.046150
T2451,0,-0.046150
T2744,0,-0.046150
T2705,0,-0.046150
T502,0,-0.046150
T1237,0,-0.046150
T345,0,-0.046150
T241,0,-0.046150
T385,0,-0.046150
T647,0,-0.046150
T2717,0,-0.046150
T1367,0,-0.046150
T2008,0,-0.046150
T2726,0,-0.046150
T1425,0,-0.046150
T269,0,-0.046150
T2860,0,-0.046150
T212,0,-0.046150
T2311,0,-0.046150
T1895,0,-0.046150
T611,0,-0.046150
T2534,0,-0.046150
T2874,0,-0.046150
T1293,0,-0.046150
T1005,0,-0.046150
T360,0,-0.046150
T1500,0,-0.046150
T2226,0,-0.046150
T2515,0,-0.046150
T1464,0,-0.046150
T1761,0,-0.046150
T396,0,-0.046150
T260,0,-0.046150
T824,0,-0.046150
T2055,0,-0.046150
T939,0,-0.046150
T1504,0,-0.046150
T2846,0,-0.046150
T67,0,-0.046150
T383,0,-0.046150
T1187,0,-0.046143
T1575,0,-0.046143
T1428,0,-0.046143
T2612,0,-0.046143
T1462,0,-0.046143
T1815,0,-0.046143
T2706,0,-0.046143
T262,0,-0.046143
T183,0,-0.046143
T2682,0,-0.046143
T889,0,-0.046143
T2751,0,-0.046143
T299,0,-0.046143
T2284,0,-0.046143
T268,0,-0.046143
T2279,0,-0.046143
T162,0,-0.046143
T469,0,-0.046143
T1911,0,-0.046143
T857,0,-0.046143
T263,0,-0.046143
T1836,0,-0.046143
T2987,0,-0.046143
T1049,0,-0.046143
T2229,0,-0.046143
T2540,0,-0.046143
T948,0,-0.046143
T746,0,-0.046143
T1758,0,-0.046143
T1039,0,-0.046143
T1345,0,-0.046143
T1984,0,-0.046143
T1380,0,-0.046143
T1123,0,-0.046143
T2796,0,-0.046143
T712,0,-0.046143
T704,0,-0.046143
T1341,0,-0.046143
T1671,0,-0.046143
T148,0,-0.046143
T1692,0,-0.046143
T1332,0,-0.046142
T845,0,-0.046142
T1298,0,-0.046142
T858,0,-0.046142
T36,0,-0.046142
T11,0,-0.046142
T1645,0,-0.046142
T936,0,-0.046142
T2632,0,-0.046141
T1182,0,-0.046141
T709,0,-0.046141
T2753,0,-0.046142
T2604,0,-0.046141
T2029,0,-0.046141
T455,0,-0.046141
T1646,0,-0.046142
T2627,0,-0.046142
T2849,0,-0.046141
T603,0,-0.046141
T2424,0,-0.046141
T1089,0,-0.046142
T463,0,-0.046142
T1932,0,-0.046142
T2855,0,-0.046148
T253,0,-0.046152
T513,0,-0.046152
T2837,0,-0.046152
T2286,0,-0.046152
T1014,0,-0.046152
T2388,0,-0.046152
T1919,0,-0.046152
T2819,0,-0.046152
T2974,0,-0.046152
T492,0,-0.046152
T1167,0,-0.046152
T677,0,-0.046152
T1759,0,-0.046152
T2495,0,-0.046152
T1017,0,-0.046152
T176,0,-0.046152
T2277,0,-0.046152
T2168,0,-0.046152
T1652,0,-0.046152
T1299,0,-0.046152
T1530,0,-0.046152
T2391,0,-0.046152
T1249,0,-0.046152
T906,0,-0.046152
T1970,0,-0.046152
T1578,0,-0.046152
T2865,0,-0.046152
T401,0,-0.046152
T2782,0,-0.046152
T2400,0,-0.046152
T1000,0,-0.046152
T2328,0,-0.046152
T2282,0,-0.046152
T288,0,-0.046152
T1389,0,-0.046152
T1533,0,-0.046152
T19,0,-0.046152
T1472,0,-0.046152
T1297,0,-0.046152
T1683,0,-0.046152
T1286,0,-0.046152
T2317,0,-0.046152
T2760,0,-0.046152
T1643,0,-0.046152
T1955,0,-0.046152
T2319,0,-0.046152
T868,0,-0.046152
T2187,0,-0.046152
T125,0,-0.046152
T1084,0,-0.046152
T1511,0,-0.046152
T2205,0,-0.046152
T63,0,-0.046152
T2067,0,-0.046152
T1965,0,-0.046152
T1235,0,-0.046152
T582,0,-0.046152
T1102,0,-0.046152
T609,0,-0.046152
T1943,1,0.007223
T1871,1,0.007223
T1961,1,0.007223
T2531,1,0.007223
T2023,1,0.007223
T2383,1,0.007223
T679,1,0.007223
T206,1,0.007223
T1625,1,0.007223
T1914,1,0.007223
T2491,1,0.007223
T417,1,0.007223
T2916,1,0.007223
T703,1,0.007223
T632,1,0.007223
T108,1,0.007223
T807,1,0.007223
T2422,1,0.007223
T2322,1,0.007223
T2850,1,0.007223
T954,1,0.007223
T2997,1,0.007223
T2106,1,0.007223
T1404,1,0.007223
T497,1,0.007223
T104,1,0.007223
T1966,1,0.007223
T884,1,0.007223
T494,1,0.007223
T1212,1,0.007223
T438,1,0.007223
T995,1,0.007223
T1639,1,0.007223
T968,1,0.007223
T681,1,0.007223
T2427,1,0.007223
T2455,1,0.007223
T581,1,0.007223
T2790,1,0.007223
T146,1,0.007223
T317,1,0.007223
T559,1,0.007223
T657,1,0.007223
T2524,1,0.007223
T239,1,0.007223
T384,1,0.007223
T84,1,0.007223
T1602,1,0.007223
T464,1,0.007223
T1357,1,0.007223
T2768,1,0.007223
