# Taxon Label, Partition Group (0 or 1), Fiedler Value
T1085,1,-0.017393
T337,1,-0.017393
T2120,1,-0.017393
T1571,1,-0.017393
T1529,1,-0.017393
T2440,1,-0.017393
T2460,1,-0.017026
T694,1,-0.017026
T2857,1,-0.017026
T1699,1,-0.017026
T1142,1,-0.017026
T2568,1,-0.016831
T2352,1,-0.016831
T1806,1,-0.016831
T2714,1,-0.016831
T214,1,-0.016831
T219,1,-0.016899
T177,1,-0.016831
T2947,1,-0.017078
T90,1,-0.017078
T34,1,-0.017078
T2344,1,-0.016376
T2543,1,-0.016376
T1578,1,-0.016376
T2217,1,-0.016410
T1281,1,-0.016434
T1818,1,-0.016434
T2788,1,-0.016434
T643,1,-0.016434
T2675,1,-0.016434
T1023,1,-0.016376
T555,1,-0.016376
T2372,1,-0.016376
T1272,1,-0.016376
T2762,1,-0.016376
T223,1,-0.016505
T1554,1,-0.016505
T1941,1,-0.016505
T185,1,-0.016570
T1866,1,-0.016636
T6,1,-0.016570
T148,1,-0.016836
T71,1,-0.016769
T2419,1,-0.016769
T2347,1,-0.016769
T1487,1,-0.016769
T1284,1,-0.016769
T2679,1,-0.016769
T826,1,-0.016836
T2306,1,-0.016769
T2185,1,-0.016769
T2339,1,-0.016769
T843,1,-0.016769
T2214,1,-0.016836
T1545,1,-0.016904
T500,1,-0.016836
T506,1,-0.016904
T1317,1,-0.016904
T1306,1,-0.016904
T1105,1,-0.016904
T2969,1,-0.016904
T2496,1,-0.016904
T2085,1,-0.016904
T2539,1,-0.016836
T1276,1,-0.016836
T596,1,-0.016836
T1919,1,-0.016972
T2166,1,-0.016974
T1513,1,-0.016904
T2334,1,-0.016904
T897,1,-0.016904
T2010,1,-0.016904
T335,1,-0.016904
T945,1,-0.016904
T2350,1,-0.016904
T908,1,-0.016904
T182,1,-0.016904
T1800,1,-0.016904
T2245,1,-0.016836
T1163,1,-0.016972
T2526,1,-0.016904
T1414,1,-0.016769
T20,1,-0.016769
T2429,1,-0.016769
T1458,1,-0.016836
T1239,1,-0.016970
T151,1,-0.016970
T1637,1,-0.016970
T99,1,-0.016903
T1365,1,-0.016836
T2471,1,-0.016904
T2678,1,-0.016904
T764,1,-0.016904
T221,1,-0.016904
T316,1,-0.016836
