# Taxon Label, Partition Group (0 or 1), Fiedler Value
T336,0,0.008034
T1486,0,0.008037
T843,0,0.008037
T114,0,0.008033
T1000,0,0.008028
T2402,0,0.008030
T1087,0,0.008028
T2217,0,0.008032
T2759,0,0.008032
T14,0,0.008032
T2534,0,0.008032
T603,0,0.008030
T2112,0,0.008034
T2524,0,0.008037
T1908,0,0.008034
T1080,0,0.008035
T346,0,0.008033
T507,0,0.008035
T254,0,0.008031
T789,0,0.008031
T259,0,0.008018
T1835,0,0.008021
T342,0,0.008021
T1566,0,0.008021
T1412,0,0.008021
T1010,0,0.008021
T2493,0,0.008023
T1856,0,0.008021
T1685,0,0.008021
T2659,0,0.008021
T1562,0,0.008021
T1201,0,0.008021
T2941,0,0.008018
T2387,0,0.008018
T1820,0,0.008018
T552,0,0.008018
T630,0,0.008020
T1773,0,0.008025
T891,0,0.008025
T971,0,0.008021
T1119,0,0.008026
T2858,0,0.008021
T2577,0,0.008023
T2298,0,0.008021
T2299,0,0.008019
T55,0,0.008017
T1029,0,0.008019
T491,0,0.008019
T480,0,0.008024
T2908,0,0.008024
T2926,0,0.008084
T333,0,0.008084
T1432,0,0.008084
T343,0,0.008090
T1506,0,0.008090
T194,0,0.008095
T67,0,0.008095
T1592,0,0.008081
T760,0,0.008079
T70,0,0.008077
T33,0,0.008077
T2708,0,0.008077
T255,0,0.008077
T1227,0,0.008079
T7,0,0.008079
T2750,0,0.008079
T1975,0,0.008079
T758,0,0.008077
T509,0,0.008074
T889,0,0.008074
T2462,0,0.008077
T2490,0,0.008088
T1618,0,0.008086
T287,0,0.008060
T882,0,0.008058
T686,0,0.008058
T2742,0,0.008053
T397,0,0.008051
T2917,0,0.008051
T735,0,0.008058
T298,0,0.008049
T794,0,0.008051
T432,0,0.008051
T567,0,0.008050
T1399,0,0.008050
T1723,0,0.008049
T1587,0,0.008055
T825,0,0.008050
T2256,0,0.008050
T1795,0,0.008050
T803,0,0.008053
T506,0,0.008050
T1555,0,0.008053
T728,0,0.008053
T2428,0,0.008050
T1047,0,0.008050
T1035,0,0.008050
T535,0,0.008050
T1496,0,0.008055
T1575,0,0.008052
T1442,0,0.008052
T1095,0,0.008052
T1077,0,0.008057
T1497,0,0.008057
T823,0,0.008052
T335,0,0.008059
T1446,0,0.008054
T2262,0,0.008049
T1124,0,0.008049
T2529,0,0.008049
T461,0,0.008052
T233,0,0.008052
T2700,0,0.008052
T1808,0,0.008054
T736,0,0.008054
T1965,0,0.008057
T1893,0,0.008057
T1157,0,0.008059
T1335,0,0.008062
T439,0,0.008062
T926,0,0.008065
T1769,0,0.008057
T1583,0,0.008052
T1219,0,0.008058
T2088,0,0.008065
T450,0,0.008062
T1191,0,0.008056
T2348,0,0.008056
T966,0,0.008061
T392,0,0.008051
T905,0,0.008051
T2269,0,0.008070
T192,0,0.008056
T1656,0,0.008061
T2836,0,0.008065
T2644,0,0.008070
T633,0,0.008070
T1223,0,0.008068
T628,0,0.008070
T1020,0,0.008070
T1368,0,0.008070
T1842,0,0.008070
T559,0,0.008070
T2240,0,0.008070
T143,0,0.008070
T262,0,0.008070
T2877,0,0.008070
T1306,0,0.008070
T216,0,0.008070
T2848,0,0.008073
T1558,0,0.008073
T2903,0,0.008073
T2614,0,0.008073
T1865,0,0.008054
T2499,0,0.008054
T2497,0,0.008054
T702,0,0.008056
T190,0,0.008053
T2170,0,0.008053
T1461,0,0.008052
T1569,0,0.008049
T1647,0,0.008048
T2076,0,0.008059
T235,0,0.008061
T1319,0,0.008051
T2206,0,0.008049
T2884,0,0.008054
T817,0,0.008054
T2880,0,0.008054
T2806,0,0.008051
T2465,0,0.008051
T1801,0,0.008054
T454,0,0.008051
T1813,0,0.008062
T824,0,0.008040
T2001,0,0.008049
T2755,0,0.008049
T91,0,0.008049
T2203,0,0.008056
T515,0,0.008056
T590,0,0.008056
T1284,0,0.008058
T386,0,0.008058
T2346,0,0.008058
T2547,0,0.008044
T1529,0,0.008044
T1203,0,0.008046
T848,0,0.008044
T1251,0,0.008044
T1057,0,0.008044
T2453,0,0.008044
T1511,0,0.008044
T1539,0,0.008058
T1061,0,0.008058
T1999,0,0.008058
T2350,0,0.008056
T1505,0,0.008049
T1487,0,0.008046
T1537,0,0.008061
T2349,0,0.008065
T422,0,0.008065
T469,0,0.008065
T1125,0,0.008065
T1,0,0.008065
T819,0,0.008032
T2061,0,0.008032
T1901,0,0.008032
T1573,0,0.008035
T1160,0,0.008035
T2522,0,0.008029
T2067,0,0.008029
T1056,0,0.008023
T442,0,0.008028
T1961,0,0.008030
T1419,0,0.008026
T314,0,0.008028
T2337,0,0.008033
T273,0,0.008026
T1570,0,0.008038
T2787,0,0.008038
T2886,0,0.008038
T2631,0,0.008034
T880,0,0.008034
T1836,0,0.008035
T2607,0,0.008035
T1279,0,0.008033
T2683,0,0.008040
T1991,0,0.008042
T2996,0,0.008040
T409,0,0.008040
T2739,0,0.008031
T2572,0,0.008031
T2341,0,0.008029
T1014,0,0.008029
T2163,0,0.008031
T1406,0,0.008029
T2737,0,0.008029
T2696,0,0.008031
T1006,0,0.008026
T854,0,0.008026
T2611,0,0.008026
T1030,0,0.008031
T1397,0,0.008033
T2086,0,0.008026
T1867,0,0.008026
T1525,0,0.008029
T1678,0,0.008024
T942,0,0.008031
T2531,0,0.008024
T106,0,0.008026
T932,0,0.008029
T326,0,0.008029
T6,0,0.008029
T237,0,0.008029
T221,0,0.008029
T2928,0,0.008031
T2523,0,0.008031
T898,0,0.008031
T2327,0,0.008026
T2689,0,0.008026
T136,0,0.008033
T1437,0,0.008036
T358,0,0.008038
T1016,0,0.008036
T967,0,0.008031
T2207,0,0.008031
T1984,0,0.008036
T1342,0,0.008036
T227,0,0.008034
T2929,0,0.008038
T524,0,0.008024
T1286,0,0.008026
T1192,0,0.008026
T2035,0,0.008026
T650,0,0.008029
T2254,0,0.008023
T171,0,0.008030
T1034,0,0.008028
T2020,0,0.008026
T2587,0,0.008028
T1939,0,0.008029
T61,0,0.008028
T1441,0,0.008026
T2089,0,0.008023
T937,0,0.008026
T1861,0,0.008023
T899,0,0.008023
T1462,0,0.008029
T785,0,0.008029
T1781,0,0.008023
T1962,0,0.008025
T1798,0,0.008025
T1114,0,0.008022
T1396,0,0.008023
T1802,0,0.008027
T595,0,0.008028
T945,0,0.008028
T1725,0,0.008028
T2561,0,0.008028
T1058,0,0.008030
T1316,0,0.008025
T804,0,0.008027
T538,0,0.008033
T2014,0,0.008033
T382,0,0.008033
T2460,0,0.008033
T241,0,0.008038
T531,0,0.008036
T2981,0,0.008035
T1715,0,0.008035
T1009,0,0.008032
T1197,0,0.008039
T2525,0,0.008039
T2038,0,0.008039
T1706,0,0.008030
T277,0,0.008030
T1899,0,0.008030
T2209,0,0.008030
T1657,0,0.008030
T625,0,0.008030
T1263,0,0.008031
T1620,0,0.008031
T2390,0,0.008035
T813,0,0.008030
T1109,0,0.008030
T1712,0,0.008030
T2352,0,0.008028
T494,0,0.008028
T1073,0,0.008030
T1423,0,0.008030
T2413,0,0.008028
T1478,0,0.008028
T1366,0,0.008028
T2842,0,0.008033
T629,0,0.008028
T102,0,0.008028
T2012,0,0.008028
T1015,0,0.008025
T546,0,0.008025
T1053,0,0.008025
T2472,0,0.008025
T286,0,0.008025
T152,0,0.008025
T1548,0,0.008026
T2893,0,0.008026
T365,0,0.008026
T1994,0,0.008026
T224,0,0.008023
T2811,0,0.008036
T1438,0,0.008036
T2252,0,0.008036
T576,0,0.008036
T2436,0,0.008031
T1688,0,0.008031
T2575,0,0.008031
T379,0,0.008031
T939,0,0.008048
T1281,0,0.008048
T2010,0,0.008050
T1916,0,0.008047
T2388,0,0.008048
T2149,0,0.008045
T208,0,0.008045
T2102,0,0.008052
T2194,0,0.008044
T1581,0,0.008042
T2188,0,0.008042
T372,0,0.008045
T1235,0,0.008047
T852,0,0.008047
T1763,0,0.008045
T1459,0,0.008040
T2041,0,0.008043
T1806,0,0.008040
T1687,0,0.008045
T332,0,0.008052
T2257,0,0.008053
T867,0,0.008045
T2541,0,0.008045
T2537,0,0.008040
T1130,0,0.008035
T1774,0,0.008035
T579,0,0.008035
T652,0,0.008040
T1972,0,0.008038
T2096,0,0.008038
T2945,0,0.008035
T2920,0,0.008035
T1196,0,0.008035
T671,0,0.008035
T786,0,0.008035
T380,0,0.008035
T1982,0,0.008051
T1494,0,0.008048
T2177,0,0.008045
T983,0,0.008045
T150,0,0.008050
T1040,0,0.008050
T2311,0,0.008048
T1025,0,0.008048
T573,0,0.008048
T2830,0,0.008053
T1988,0,0.008055
T1628,0,0.008060
T2342,0,0.008060
T863,0,0.008022
T776,0,0.008022
T1651,0,0.008018
T388,0,0.008018
T1149,0,0.008018
T1785,0,0.008018
T460,0,0.008018
T2442,0,0.008015
T82,0,0.008018
T1955,0,0.008020
T2408,0,0.008020
T2296,0,0.008015
T1829,0,0.008015
T1364,0,0.008050
T1831,0,0.008057
T1920,0,0.008043
T2412,0,0.008048
T1328,0,0.008048
T199,0,0.008050
T45,0,0.008050
T2171,0,0.008052
T2598,0,0.008055
T892,0,0.008055
T2215,0,0.008052
T17,0,0.008052
T62,0,0.008052
T2270,0,0.008052
T2939,0,0.008048
T2562,0,0.008050
T2566,0,0.008049
T2219,0,0.008051
T522,0,0.008048
T2845,0,0.008048
T696,0,0.008048
T134,0,0.008048
T1983,0,0.008039
T369,0,0.008039
T684,0,0.008039
T1638,0,0.008039
T2597,0,0.008041
T1301,0,0.008041
T2032,0,0.008041
T739,0,0.008041
T1754,0,0.008041
T726,0,0.008041
T1288,0,0.008041
T1890,0,0.008039
T2933,0,0.008039
T1674,0,0.008039
T2627,0,0.008048
T1589,0,0.008044
T1792,0,0.008055
T1928,0,0.008055
T1070,0,0.008055
T408,0,0.008055
T1193,0,0.008058
T1436,0,0.008058
T911,0,0.008055
T1882,0,0.008051
T793,0,0.008051
T1929,0,0.008051
T1122,0,0.008053
T2937,0,0.008055
T283,0,0.008055
T2376,0,0.008055
T1033,0,0.008042
T1627,0,0.008042
T904,0,0.008042
T2913,0,0.008042
T361,0,0.008037
T1768,0,0.008037
T366,0,0.008039
T2229,0,0.008039
T1809,0,0.008039
T2118,0,0.008044
T1826,0,0.008042
T232,0,0.008042
T1837,0,0.008053
T1451,0,0.008048
T1293,0,0.008046
T2236,0,0.008055
T2691,0,0.008059
T2191,0,0.008059
T851,0,0.008059
T2527,0,0.008058
T2745,0,0.008055
T605,0,0.008040
T378,0,0.008040
T1600,0,0.008038
T1981,0,0.008042
T85,0,0.008040
T1471,0,0.008038
T1452,0,0.008044
T919,0,0.008042
T1104,0,0.008042
T2701,0,0.008037
T646,0,0.008040
T2399,0,0.008039
T420,0,0.008040
T2275,0,0.008040
T2628,0,0.008044
T301,0,0.008037
T1079,0,0.008037
T956,0,0.008047
T2657,0,0.008047
T350,0,0.008050
T977,0,0.008048
T99,0,0.008048
T1402,0,0.008048
T2651,0,0.008048
T615,0,0.008048
T626,0,0.008048
T1111,0,0.008048
T1300,0,0.008043
T655,0,0.008046
T772,0,0.008046
T2730,0,0.008046
T223,0,0.008046
T2634,0,0.008046
T2585,0,0.008046
T2765,0,0.008046
T2303,0,0.008035
T2063,0,0.008042
T2317,0,0.008042
T1403,0,0.008042
T1075,0,0.008042
T1546,0,0.008038
T1266,0,0.008038
T2121,0,0.008038
T2736,0,0.008039
T1348,0,0.008042
T317,0,0.008042
T320,0,0.008042
T748,0,0.007987
T833,0,0.007987
T2377,0,0.007984
T84,0,0.007986
T1028,0,0.007986
T1880,0,0.007988
T2621,0,0.007988
T119,0,0.007984
T155,0,0.007984
T1367,0,0.007984
T367,0,0.007982
T895,0,0.007986
T1753,0,0.007986
T475,0,0.007981
T2090,0,0.007984
T2588,0,0.007973
T1165,0,0.007971
T1756,0,0.007972
T329,0,0.007975
T2542,0,0.007975
T2347,0,0.007972
T206,0,0.007972
T2673,0,0.007972
T1138,0,0.007970
T2797,0,0.007975
T503,0,0.007975
T1722,0,0.007975
T230,0,0.007975
T811,0,0.007975
T2113,0,0.007977
T1851,0,0.007977
T2482,0,0.007977
T2707,0,0.007977
T2268,0,0.008029
T985,0,0.008031
T1289,0,0.008031
T1996,0,0.008031
T64,0,0.008005
T1776,0,0.008005
T2351,0,0.008005
T339,0,0.008005
T2,0,0.008008
T2374,0,0.008019
T2115,0,0.008019
T885,0,0.008024
T2844,0,0.008024
T201,0,0.008008
T200,0,0.008008
T443,0,0.008007
T2192,0,0.008012
T252,0,0.008012
T2573,0,0.008010
T1426,0,0.008010
T476,0,0.008010
T2897,0,0.008010
T654,0,0.008010
T1509,0,0.008012
T2079,0,0.008012
T1345,0,0.008013
T27,0,0.008013
T962,0,0.008012
T1329,0,0.008021
T1362,0,0.008019
T975,0,0.008015
T1408,0,0.008016
T1704,0,0.008019
T2241,0,0.008016
T167,0,0.008023
T2670,0,0.008023
T2791,0,0.008011
T2481,0,0.008009
T1540,0,0.008011
T2902,0,0.008011
T131,0,0.008011
T2459,0,0.008018
T2450,0,0.008020
T1779,0,0.008020
T2266,0,0.008020
T2136,0,0.008020
T2103,0,0.008041
T1886,0,0.008036
T1131,0,0.008036
T1123,0,0.008038
T2028,0,0.008033
T2506,0,0.008039
T2850,0,0.008035
T1738,0,0.008033
T2443,0,0.008038
T1054,0,0.008038
T2133,0,0.008036
T2371,0,0.008036
T1617,0,0.008038
T1740,0,0.008033
T663,0,0.008036
T2500,0,0.008036
T2753,0,0.008040
T2975,0,0.008038
T920,0,0.008037
T1895,0,0.008037
T2494,0,0.008037
T2591,0,0.008037
T2344,0,0.008037
T2227,0,0.008037
T291,0,0.008043
T1507,0,0.008043
T927,0,0.008043
T1825,0,0.008043
T2478,0,0.008046
T1257,0,0.008043
T1909,0,0.008043
T313,0,0.008041
T251,0,0.008036
T580,0,0.008038
T1158,0,0.008038
T2789,0,0.008036
T1429,0,0.008033
T532,0,0.008033
T187,0,0.008033
T2656,0,0.008033
T1762,0,0.008033
T1527,0,0.008033
T1812,0,0.008033
T656,0,0.008036
T186,0,0.008040
T2068,0,0.008042
T1260,0,0.008038
T2748,0,0.008037
T1751,0,0.008044
T1730,0,0.008033
T1164,0,0.008036
T1695,0,0.008044
T1118,0,0.008035
T2313,0,0.008033
T434,0,0.008034
T2161,0,0.008034
T2202,0,0.008036
T1641,0,0.008034
T2957,0,0.008029
T790,0,0.008035
T1676,0,0.008032
T316,0,0.008035
T2375,0,0.008035
T2213,0,0.008035
T2422,0,0.008030
T1616,0,0.008035
T591,0,0.008035
T1714,0,0.008035
T2322,0,0.008041
T1292,0,0.008041
T1174,0,0.008041
T715,0,0.008040
T978,0,0.008040
T965,0,0.008040
T1023,0,0.008040
T1521,0,0.008040
T2660,0,0.008000
T669,0,0.008000
T1065,0,0.008000
T307,0,0.008000
T2106,0,0.008000
T845,0,0.008000
T2267,0,0.008000
T933,0,0.008000
T2045,0,0.008002
T116,0,0.007998
T2914,0,0.007998
T2999,0,0.007998
T2477,0,0.008000
T1666,0,0.008002
T2684,0,0.008000
T2002,0,0.007998
T2279,0,0.008002
T2095,0,0.008002
T95,0,0.008002
T2025,0,0.008001
T1818,0,0.008001
T913,0,0.008002
T2143,0,0.008002
T2484,0,0.008002
T2152,0,0.007995
T1232,0,0.007995
T203,0,0.007995
T373,0,0.007995
T1045,0,0.007998
T767,0,0.008000
T2818,0,0.007996
T1039,0,0.007996
T2521,0,0.008000
T931,0,0.007998
T1341,0,0.007996
T2890,0,0.007996
T2099,0,0.007998
T1427,0,0.007998
T765,0,0.008003
T1721,0,0.008003
T2618,0,0.007998
T660,0,0.007999
T1626,0,0.008000
T586,0,0.008000
T1925,0,0.008000
T2222,0,0.007998
T398,0,0.008001
T1979,0,0.007998
T1479,0,0.007995
T2024,0,0.008001
T130,0,0.008001
T88,0,0.008001
T123,0,0.008001
T581,0,0.008001
T1143,0,0.008001
T2987,0,0.008001
T2549,0,0.008009
T518,0,0.008007
T781,0,0.008007
T495,0,0.008007
T1026,0,0.008007
T2511,0,0.008007
T424,0,0.008012
T1194,0,0.008005
T40,0,0.007999
T2711,0,0.007999
T2512,0,0.007996
T1214,0,0.007999
T57,0,0.008004
T1644,0,0.008002
T565,0,0.008002
T165,0,0.008002
T2619,0,0.008002
T2480,0,0.008002
T2434,0,0.007998
T1612,0,0.007998
T2505,0,0.007998
T2492,0,0.007998
T2404,0,0.007998
T305,0,0.007998
T2733,0,0.007998
T2909,0,0.008002
T1942,0,0.008000
T1299,0,0.007997
T2716,0,0.007997
T1480,0,0.007997
T864,0,0.007997
T15,0,0.008000
T1389,0,0.008000
T2052,0,0.008000
T2675,0,0.008014
T385,0,0.008011
T1224,0,0.008011
T2555,0,0.008016
T2648,0,0.008012
T1693,0,0.008007
T2766,0,0.008007
T918,0,0.008007
T1758,0,0.008007
T1354,0,0.008009
T2710,0,0.008009
T37,0,0.008007
T1237,0,0.008005
T1499,0,0.008005
T76,0,0.008001
T2140,0,0.008007
T2156,0,0.008005
T1253,0,0.008005
T257,0,0.008005
T2228,0,0.008002
T1334,0,0.008005
T1726,0,0.008005
T2366,0,0.008005
T653,0,0.008002
T936,0,0.008002
T22,0,0.008002
T2410,0,0.008002
T2570,0,0.008002
T1250,0,0.008009
T278,0,0.008007
T93,0,0.008007
T639,0,0.008007
T2135,0,0.008010
T2325,0,0.008010
T2535,0,0.008005
T269,0,0.008005
T570,0,0.008005
T1560,0,0.008005
T435,0,0.008005
T704,0,0.008005
T419,0,0.008005
T2368,0,0.008002
T2147,0,0.008000
T2632,0,0.008000
T2976,0,0.008002
T699,0,0.008015
T1252,0,0.008013
T1489,0,0.008013
T1044,0,0.008010
T1598,0,0.007999
T18,0,0.007996
T20,0,0.007998
T1239,0,0.007998
T2283,0,0.007998
T2662,0,0.007988
T2741,0,0.007994
T2637,0,0.007996
T740,0,0.007996
T1844,0,0.008017
T2504,0,0.008017
T2757,0,0.008013
T2713,0,0.008013
T1833,0,0.008013
T914,0,0.008010
T327,0,0.008010
T1888,0,0.008013
T2033,0,0.008013
T1579,0,0.008008
T2856,0,0.008013
T234,0,0.008012
T910,0,0.008015
T1547,0,0.008015
T2234,0,0.008012
T1596,0,0.008012
T1169,0,0.008005
T381,0,0.008000
T1121,0,0.007998
T125,0,0.007998
T193,0,0.008006
T948,0,0.008003
T631,0,0.008003
T462,0,0.008001
T2620,0,0.008001
T239,0,0.007996
T2080,0,0.007996
T2988,0,0.007999
T447,0,0.007997
T2164,0,0.007997
T1259,0,0.007997
T574,0,0.008001
T163,0,0.007996
T1985,0,0.007986
T164,0,0.007986
T217,0,0.007979
T2652,0,0.007974
T1428,0,0.007979
T2851,0,0.007979
T992,0,0.007976
T1924,0,0.007976
T2674,0,0.007976
T2292,0,0.007982
T563,0,0.007982
T601,0,0.007984
T1799,0,0.007982
T549,0,0.007982
T870,0,0.007981
T1503,0,0.007981
T820,0,0.007986
T2003,0,0.007981
T908,0,0.007986
T1607,0,0.007984
T56,0,0.007984
T1864,0,0.007990
T907,0,0.007992
T1137,0,0.007997
T214,0,0.007995
T1100,0,0.007995
T1476,0,0.007995
T1896,0,0.007992
T1255,0,0.007992
T2724,0,0.007992
T243,0,0.007992
T1113,0,0.007997
T723,0,0.007992
T2610,0,0.007992
T871,0,0.007993
T649,0,0.007995
T2249,0,0.008000
T1677,0,0.008000
T2862,0,0.008000
T1209,0,0.008001
T2720,0,0.008001
T374,0,0.007996
T2899,0,0.007999
T2093,0,0.008006
T594,0,0.008004
T1378,0,0.008004
T2868,0,0.007998
T661,0,0.008003
T973,0,0.008003
T1283,0,0.007998
T69,0,0.007988
T759,0,0.007985
T453,0,0.007987
T2498,0,0.007985
T1416,0,0.007985
T2364,0,0.007986
T2994,0,0.007983
T830,0,0.007983
T2205,0,0.007981
T1690,0,0.007970
T2641,0,0.007965
T89,0,0.007965
T1765,0,0.007965
T707,0,0.007967
T529,0,0.007967
T2232,0,0.007970
T396,0,0.007970
T2910,0,0.007970
T839,0,0.007970
T2141,0,0.007970
T430,0,0.007971
T2513,0,0.007989
T1401,0,0.007987
T1440,0,0.007985
T2208,0,0.007988
T1744,0,0.007988
T701,0,0.007984
T2817,0,0.007985
T444,0,0.007972
T1254,0,0.007972
T107,0,0.007967
T465,0,0.007972
T712,0,0.007972
T1298,0,0.007967
T2517,0,0.007965
T893,0,0.007967
T1791,0,0.007970
T1154,0,0.007970
T1282,0,0.007970
T721,0,0.007975
T180,0,0.007979
T294,0,0.007975
T2543,0,0.007978
T2615,0,0.007978
T944,0,0.007975
T1873,0,0.007979
T2224,0,0.007972
T2314,0,0.007977
T2911,0,0.007975
T488,0,0.007975
T1226,0,0.007975
T2221,0,0.007975
T127,0,0.007977
T2682,0,0.007977
T2617,0,0.007977
T2358,0,0.007977
T344,0,0.007975
T732,0,0.007973
T1557,0,0.007975
T930,0,0.007973
T229,0,0.007984
T1005,0,0.007987
T921,0,0.007987
T1473,0,0.007987
T2744,0,0.007987
T172,0,0.007987
T710,0,0.007989
T1069,0,0.007987
T2934,0,0.007989
T1927,0,0.007989
T2455,0,0.007988
T2955,0,0.007991
T894,0,0.007988
T404,0,0.007991
T446,0,0.007989
T1294,0,0.007984
T1954,0,0.007984
T1303,0,0.007986
T1623,0,0.007986
T688,0,0.007982
T2912,0,0.007987
T455,0,0.007994
T681,0,0.007992
T1207,0,0.007989
T2126,0,0.007992
T815,0,0.007992
T2726,0,0.007992
T80,0,0.007989
T1584,0,0.007972
T423,0,0.007973
T1586,0,0.007972
T1810,0,0.007977
T445,0,0.007970
T2596,0,0.007967
T1409,0,0.007970
T73,0,0.007962
T1921,0,0.007962
T2116,0,0.007962
T2287,0,0.007965
T174,0,0.007967
T2128,0,0.007967
T1092,0,0.007970
T1958,0,0.007970
T2728,0,0.007973
T2424,0,0.007973
T1311,0,0.007973
T2550,0,0.007975
T778,0,0.007973
T731,0,0.007973
T685,0,0.007973
T2380,0,0.007973
T2646,0,0.007971
T13,0,0.007971
T1206,0,0.007973
T1245,0,0.007971
T946,0,0.007973
T126,0,0.007973
T2825,0,0.007971
T1346,0,0.007971
T1578,0,0.007972
T2034,0,0.007971
T869,0,0.007973
T2078,0,0.007973
T1531,0,0.007963
T3,0,0.007967
T828,0,0.007962
T553,0,0.007962
T1770,0,0.007962
T770,0,0.007967
