# Taxon Label, Partition Group (0 or 1), Fiedler Value
T1833,0,-0.033497
T1675,0,-0.033497
T1018,0,-0.033497
T66,0,-0.033496
T986,0,-0.033496
T1765,1,-0.111643
T1840,1,-0.111643
T1707,1,-0.111653
T668,1,-0.111649
T1823,1,-0.111651
T265,1,-0.111653
T1290,0,0.014059
T1499,0,0.014059
T1065,0,0.014061
T289,0,0.014061
T215,0,0.014066
T502,0,0.014060
T1225,0,0.014062
T209,0,0.014061
T1061,0,0.014370
T759,0,0.014370
T846,0,0.014370
T1098,0,-0.058681
T1795,0,-0.058684
T1049,0,-0.058810
T1780,0,-0.058818
T1702,0,-0.058818
T345,0,-0.058816
T1381,0,-0.055860
T1219,0,-0.055861
T1502,0,-0.055864
T667,0,-0.055859
T1685,0,-0.055858
T725,0,-0.055858
T1993,0,-0.055863
T77,0,-0.055863
T321,0,-0.055865
T1489,0,-0.055860
T1946,0,-0.055860
T1261,0,-0.055859
T95,0,-0.055860
T570,0,-0.055920
T614,0,-0.055921
T1691,0,-0.056161
T1548,0,-0.056160
T1419,0,-0.056181
T1879,0,-0.056181
T1738,0,-0.056184
T1244,0,-0.056183
T599,0,-0.056183
T1734,0,-0.056186
T1690,0,-0.056182
T51,0,-0.056182
T1455,0,-0.056180
T1204,0,-0.055718
T1053,0,-0.055718
T1694,0,-0.055753
T1395,0,-0.055747
T460,0,-0.055699
T1521,0,-0.055698
T1076,0,-0.055700
T47,0,-0.055700
T978,0,-0.055697
T734,0,-0.055701
T446,0,0.091182
T1003,0,0.091182
T1032,0,0.091179
T1327,0,0.091125
T1978,0,0.091126
T1195,0,0.091120
T531,0,0.091120
T736,0,0.091122
T905,0,0.091126
T947,0,0.091124
T740,0,0.091122
T356,0,0.091130
T763,0,0.091130
T1067,0,0.091130
T1922,0,0.091130
T355,0,0.091130
T637,0,0.091144
T1509,0,0.089412
T1846,0,0.089436
T1706,0,0.089436
T121,0,0.089435
T999,0,0.089434
T1778,0,0.089434
T1630,0,0.089751
T1351,0,0.089749
T167,0,0.089750
T1186,0,0.089749
T1907,0,0.089749
T956,0,0.089716
T1392,0,0.089715
T3,0,0.089715
T1786,0,0.089718
T1701,0,0.089717
T1939,0,0.089716
T964,0,0.089715
T1437,0,0.089716
T149,0,0.089717
T1341,0,0.089670
T988,0,0.089641
T1794,0,0.089817
T374,0,0.089817
T501,0,0.089818
T234,0,0.089817
T575,0,0.089816
T1710,0,0.089816
T146,0,0.089711
T1274,0,0.089712
T661,0,0.089712
T1296,0,0.089712
T972,0,0.089713
T1644,0,0.089717
T1523,0,0.089728
T539,0,0.081438
T558,0,0.081433
T1541,0,0.081430
