# Taxon Label, Partition Group (0 or 1), Fiedler Value
T2899,1,-0.027887
T2652,1,-0.027888
T2521,1,-0.027893
T411,1,-0.027892
T1708,1,-0.027875
T191,1,-0.027862
T1568,1,-0.027860
T2828,1,-0.027865
T1622,1,-0.027866
T2302,1,-0.027859
T2883,1,-0.027857
T1042,1,-0.027847
T2721,1,-0.027849
T1840,1,-0.027851
T1461,1,-0.027853
T2701,1,-0.027854
T1850,1,-0.027865
T877,1,-0.027870
T2720,1,-0.027875
T1038,1,-0.027873
T2846,1,-0.027876
T323,1,-0.027871
T2643,1,-0.027871
T1121,1,-0.027867
T1653,1,-0.027871
T425,1,-0.027881
T2071,1,-0.027862
T1750,1,-0.027839
T1148,1,-0.027843
T852,1,-0.027863
T1159,1,-0.027851
T2154,1,-0.027866
T1804,1,-0.027863
T842,1,-0.027868
T696,1,-0.027857
T2357,1,-0.027839
T1658,1,-0.027835
T957,1,-0.027835
T2170,1,-0.027845
T922,1,-0.027846
T491,1,-0.027831
T2345,1,-0.027830
T2006,1,-0.027874
T43,1,-0.027873
T1836,1,-0.027877
T1913,1,-0.027864
T1811,1,-0.027862
T480,1,-0.027861
T2108,1,-0.027857
T1336,1,-0.027862
T789,1,-0.027864
T764,1,-0.027861
T2180,1,-0.027862
T2804,1,-0.027863
T1843,1,-0.027852
T1000,1,-0.027851
T2053,1,-0.027846
T1678,1,-0.027851
T1789,1,-0.027851
T2189,1,-0.027847
T544,1,-0.027847
T2388,1,-0.027851
T1783,1,-0.027850
T833,1,-0.027900
T1041,1,-0.027921
T512,1,-0.027920
T438,1,-0.027920
T2106,1,-0.027921
T2107,1,-0.027918
T1187,1,-0.027920
T1812,1,-0.027922
T972,1,-0.027933
T2945,1,-0.027933
T409,1,-0.027956
T1012,1,-0.027952
T1773,1,-0.027950
T2440,1,-0.027949
T721,1,-0.027970
T1793,1,-0.027964
T2880,1,-0.027925
T1418,1,-0.027933
T865,1,-0.027927
T2989,1,-0.027978
T1019,1,-0.028017
T2257,1,-0.027939
T2318,1,-0.028020
T1178,1,-0.027991
T1597,1,-0.027984
T443,1,-0.027995
T1169,1,-0.027994
T2158,1,-0.027981
T1076,1,-0.027961
T2669,1,-0.028015
T217,1,-0.028012
T2352,1,-0.028019
T2763,1,-0.028002
T2637,1,-0.026993
T2122,1,-0.026981
T1061,1,-0.026980
T2548,1,-0.026983
T2915,1,-0.026990
T2875,1,-0.026990
T643,1,-0.026992
T2513,1,-0.027005
T2569,1,-0.027012
T2936,1,-0.027007
