# Taxon Label, Partition Group (0 or 1), Fiedler Value
T223,1,-0.013313
T597,1,-0.013313
T244,1,-0.013258
T703,1,-0.013313
T922,1,-0.013313
T618,1,-0.013345
T734,1,-0.013148
T567,1,-0.013148
T801,1,-0.013094
T545,1,-0.013148
T78,1,-0.013368
T830,1,-0.013368
T400,1,-0.013368
T233,1,-0.013313
T363,1,-0.013202
T444,1,-0.013202
T323,1,-0.013368
T451,1,-0.013368
T687,1,-0.013257
T535,1,-0.013257
T714,1,-0.013257
T65,1,-0.013257
T885,1,-0.013257
T175,1,-0.013265
T143,1,-0.013257
T716,1,-0.013257
T382,1,-0.013257
T886,1,-0.013368
T309,1,-0.013313
T316,1,-0.013313
T315,1,-0.013313
T589,1,-0.013313
T833,1,-0.013424
T903,1,-0.013368
T915,1,-0.013368
T188,1,-0.013313
T816,1,-0.013313
T884,1,-0.013313
T122,1,-0.013313
T762,1,-0.013313
T607,1,-0.013148
T700,1,-0.013094
T287,1,-0.013094
T603,1,-0.013094
T973,1,-0.013094
T350,1,-0.013148
T302,1,-0.013148
T291,1,-0.013094
T581,1,-0.013203
T543,1,-0.013203
T950,1,-0.013257
T851,1,-0.013257
T457,1,-0.013203
T528,1,-0.013257
T149,1,-0.013148
T230,1,-0.013148
T486,1,-0.013148
T102,1,-0.013094
T780,1,-0.013094
T516,1,-0.013094
T840,1,-0.013094
T819,1,-0.013094
T765,1,-0.013094
T547,1,-0.013094
T587,1,-0.013148
T515,1,-0.013203
T843,1,-0.013203
T670,1,-0.013094
T662,1,-0.013094
T652,1,-0.013094
T501,1,-0.013094
T921,1,-0.013203
T628,1,-0.013148
T341,1,-0.013148
T114,1,-0.013148
T889,1,-0.013148
T215,1,-0.013313
T945,1,-0.013148
T96,1,-0.013148
T629,1,-0.013148
T972,1,-0.013148
T954,1,-0.013203
T947,1,-0.013203
T429,1,-0.013257
T201,1,-0.013203
T165,1,-0.013203
T732,1,-0.013257
T776,1,-0.013257
T367,1,-0.013257
T820,1,-0.013257
T488,1,-0.013376
T495,1,-0.013257
T852,1,-0.013257
T90,1,-0.013257
T286,1,-0.013257
T743,1,-0.013128
T717,1,-0.013128
T940,1,-0.013128
T87,1,-0.013182
T916,1,-0.013182
T220,1,-0.013236
T534,1,-0.013182
T189,1,-0.013128
T790,1,-0.013075
T439,1,-0.013075
T129,1,-0.013075
T586,1,-0.013128
T243,1,-0.013236
T936,1,-0.013182
T443,1,-0.013182
T774,1,-0.013128
T1000,1,-0.013075
T477,1,-0.013513
T570,1,-0.013513
T756,1,-0.013513
T418,1,-0.013513
T682,1,-0.013513
T3,1,-0.013513
T951,1,-0.012952
T837,1,-0.012952
T842,1,-0.012952
T611,1,-0.012952
T660,1,-0.012952
T240,1,-0.012952
T381,1,-0.012952
T723,1,-0.012952
T865,1,-0.012952
T139,1,-0.013300
T744,1,-0.013300
T555,1,-0.013300
T461,1,-0.013300
T827,1,-0.013138
T146,1,-0.013138
T690,1,-0.013246
T985,1,-0.013191
T231,1,-0.013191
T140,1,-0.013246
T150,1,-0.013138
T9,1,-0.013138
T561,1,-0.013138
T791,1,-0.013030
T752,1,-0.012927
T402,1,-0.012979
T379,1,-0.012979
T259,1,-0.013085
T219,1,-0.013085
T502,1,-0.013085
T839,1,-0.012981
T966,1,-0.013033
T306,1,-0.012981
T507,1,-0.012981
T88,1,-0.012981
T649,1,-0.013085
T961,1,-0.012981
T226,1,-0.012981
T643,1,-0.013085
T646,1,-0.013033
T655,1,-0.013033
T799,1,-0.012981
T485,1,-0.012981
T380,1,-0.012981
T32,1,-0.012981
T554,1,-0.012981
T996,1,-0.012981
T741,1,-0.012981
T713,1,-0.012981
T337,1,-0.012981
T125,1,-0.012981
T376,1,-0.012981
T962,1,-0.013033
T245,1,-0.013579
T538,1,-0.013466
T170,1,-0.013466
T412,1,-0.013466
T290,1,-0.013466
T137,1,-0.013466
T275,1,-0.013523
T701,1,-0.013523
T436,1,-0.013523
T227,1,-0.013466
T398,1,-0.013466
T434,1,-0.013306
T878,1,-0.013198
T747,1,-0.013198
T667,1,-0.013198
T733,1,-0.013198
T23,1,-0.013198
T27,1,-0.013198
T136,1,-0.013473
T247,1,-0.013473
T781,1,-0.013473
T522,1,-0.013473
T579,1,-0.013473
T813,1,-0.013473
T858,1,-0.013529
T97,1,-0.013417
T980,1,-0.013417
T872,1,-0.013417
T917,1,-0.013417
T908,1,-0.013417
T633,1,-0.013361
T12,1,-0.013361
T792,1,-0.013361
T357,1,-0.013361
T131,1,-0.013361
T745,1,-0.013361
T71,1,-0.013361
T34,1,-0.013361
T991,1,-0.013361
T20,1,-0.013361
T38,1,-0.013361
T311,1,-0.013252
T124,1,-0.013252
T493,1,-0.013358
T956,1,-0.013358
T890,1,-0.013303
T317,1,-0.013303
T541,1,-0.013358
T855,1,-0.013006
T595,1,-0.012954
T392,1,-0.012954
T194,1,-0.012954
T736,1,-0.012954
T329,1,-0.012954
T975,1,-0.012954
T206,1,-0.012954
T248,1,-0.013006
T706,1,-0.013058
T445,1,-0.013058
T318,1,-0.013058
T474,1,-0.012954
T58,1,-0.012954
T252,1,-0.012954
T892,1,-0.012954
T604,1,-0.013006
T456,1,-0.012954
T566,1,-0.012954
T67,1,-0.013006
T894,1,-0.012954
T821,1,-0.013058
T711,1,-0.013058
T448,1,-0.013058
T698,1,-0.013058
T537,1,-0.013058
T93,1,-0.013058
T458,1,-0.013058
T353,1,-0.013058
T631,1,-0.012954
T986,1,-0.012954
T997,1,-0.013006
T995,1,-0.013006
T267,1,-0.013058
T719,1,-0.013058
T205,1,-0.012998
T699,1,-0.012903
T228,1,-0.012903
T17,1,-0.012903
T307,1,-0.012903
T427,1,-0.012903
T159,1,-0.012903
T464,1,-0.012903
T709,1,-0.012907
T509,1,-0.012903
T715,1,-0.012903
T841,1,-0.013061
T433,1,-0.012958
T601,1,-0.013009
T472,1,-0.013009
T24,1,-0.012958
T708,1,-0.012958
T4,1,-0.012958
T298,1,-0.012958
T784,1,-0.013113
T953,1,-0.013113
T809,1,-0.013113
T679,1,-0.013166
T169,1,-0.013113
T258,1,-0.013055
T657,1,-0.013055
T970,1,-0.013055
T642,1,-0.013055
T425,1,-0.013055
T556,1,-0.013055
T378,1,-0.013055
T468,1,-0.013055
T29,1,-0.013107
T896,1,-0.013107
T56,1,-0.013107
T640,1,-0.013107
T235,1,-0.013107
T179,1,-0.013266
T310,1,-0.013212
T815,1,-0.013212
T753,1,-0.013212
T141,1,-0.013212
T544,1,-0.013212
T764,1,-0.013212
T345,1,-0.013212
T37,1,-0.013212
T978,1,-0.013157
T273,1,-0.013157
T789,1,-0.013210
T862,1,-0.013157
T592,1,-0.013157
T867,1,-0.013157
T130,1,-0.013157
T28,1,-0.013212
T512,1,-0.013212
T424,1,-0.013212
T971,1,-0.013212
T938,1,-0.013107
