# Taxon Label, Partition Group (0 or 1), Fiedler Value
T800,0,-0.050354
T944,0,-0.050037
T732,0,-0.050037
T185,0,-0.050037
T136,0,-0.050374
T849,0,-0.050037
T670,0,-0.050037
T416,0,-0.050374
T845,0,-0.050699
T21,0,-0.051044
T592,0,-0.050699
T764,0,-0.050699
T654,0,-0.050358
T81,0,-0.050358
T74,0,-0.050358
T198,0,-0.049365
T120,0,-0.049693
T332,0,-0.050943
T983,0,-0.050599
T775,0,-0.050943
T738,0,-0.050599
T633,0,-0.050599
T864,0,-0.049925
T22,0,-0.049925
T360,0,-0.050942
T411,0,-0.049925
T518,0,-0.050259
T996,0,-0.050596
T326,0,-0.050259
T141,0,-0.049925
T278,0,-0.051292
T483,0,-0.051292
T620,0,-0.051292
T820,0,-0.049554
T878,0,-0.049554
T533,0,-0.048704
T981,0,-0.048704
T649,0,-0.048704
T382,0,-0.048406
T259,0,-0.048704
T367,0,-0.048704
T305,0,-0.048704
T559,0,-0.049452
T993,0,-0.049766
T131,0,-0.049455
T604,0,-0.050081
T124,0,-0.050081
T822,0,-0.050081
T980,0,-0.049455
T208,0,-0.049766
T972,0,-0.049455
T408,0,-0.049455
T346,0,-0.049766
T89,0,-0.049766
T369,0,-0.049455
T181,0,-0.049455
T281,0,-0.050080
T935,0,-0.050080
T567,0,-0.048461
T537,0,-0.048461
T127,0,-0.048461
T237,0,-0.047878
T789,0,-0.048168
T657,0,-0.048168
T248,0,-0.048168
T661,0,-0.048168
T7,0,-0.048168
T219,0,-0.048168
T406,0,-0.048168
T258,0,-0.048168
T551,0,-0.048168
T891,0,-0.048461
T866,0,-0.048461
T105,0,-0.048168
T637,0,-0.048168
T988,0,-0.048168
T231,0,-0.048462
T487,0,-0.048462
T166,0,-0.048462
T247,0,-0.047878
T493,0,-0.047878
T206,0,-0.047878
T589,0,-0.048168
T772,0,-0.048168
T568,0,-0.048708
T799,0,-0.048171
T690,0,-0.046750
T940,0,-0.046758
T98,0,-0.046758
T858,0,-0.046758
T954,0,-0.046489
T542,0,-0.046489
T937,0,-0.046489
T880,0,-0.046489
T13,0,-0.046758
T197,0,-0.046758
T550,0,-0.046758
T876,0,-0.046489
T784,0,-0.046728
T965,0,-0.046213
T362,0,-0.046213
T745,0,-0.046213
T84,0,-0.046480
T58,0,-0.047030
T773,0,-0.046755
T586,0,-0.046489
T214,0,-0.046489
T132,0,-0.046489
T552,0,-0.046489
T471,0,-0.046445
T778,0,-0.046445
T883,0,-0.046445
T825,0,-0.046445
T599,0,-0.046445
T359,0,-0.046445
T344,0,-0.046445
T133,0,-0.046445
T953,0,-0.046445
T631,0,-0.046445
T417,0,-0.046445
T528,0,-0.046704
T86,0,-0.046435
T421,0,-0.047536
T686,0,-0.046984
T900,0,-0.046445
T321,0,-0.046445
T625,0,-0.046983
T77,0,-0.046983
T457,0,-0.046983
T239,0,-0.047257
T116,0,-0.047252
T507,0,-0.047252
T723,0,-0.047252
T60,0,-0.047252
T265,0,-0.046984
T617,0,-0.046713
T541,0,-0.046713
T422,0,-0.046984
T398,0,-0.048049
T927,0,-0.048049
T733,0,-0.048049
T327,0,-0.048091
T889,0,-0.048091
T658,0,-0.048360
T851,0,-0.048360
T681,0,-0.048093
T213,0,-0.048093
T61,0,-0.048093
T426,0,-0.047809
T210,0,-0.047815
T549,0,-0.047535
T936,0,-0.047815
T59,0,-0.047815
T307,0,-0.048386
T439,0,-0.048099
T18,0,-0.048099
T577,0,-0.049125
T227,0,-0.049125
T511,0,-0.049125
T957,0,-0.048677
T488,0,-0.048677
T15,0,-0.048677
T440,0,-0.048672
T594,0,-0.047815
T287,0,-0.047815
T951,0,-0.048037
T101,0,-0.047815
T895,0,-0.047815
T560,0,-0.047258
T527,0,-0.047258
T188,0,-0.047258
T266,0,-0.047258
T869,0,-0.048098
T489,0,-0.048098
T999,0,-0.048098
T361,0,-0.051039
T653,0,-0.050718
T783,0,-0.048583
T482,0,-0.049174
T123,0,-0.049476
T768,0,-0.049476
T759,0,-0.049175
T279,0,-0.049175
T264,0,-0.049781
T143,0,-0.049781
T614,0,-0.049781
T182,0,-0.049476
T517,0,-0.049479
T546,0,-0.049781
T30,0,-0.049781
T392,0,-0.050058
T787,0,-0.049781
T390,0,-0.049476
T8,0,-0.049476
T894,0,-0.049175
T156,0,-0.049175
T473,0,-0.049175
T244,0,-0.049779
T134,0,-0.049175
T918,0,-0.049476
T76,0,-0.049175
T569,0,-0.049175
T770,0,-0.049175
T835,0,-0.049175
T354,0,-0.049175
T750,0,-0.048877
T664,0,-0.048877
T607,0,-0.049175
T833,0,-0.048877
T701,0,-0.049175
T434,0,-0.050688
T220,0,-0.050372
T616,0,-0.050372
T737,0,-0.050372
T270,0,-0.050372
T68,0,-0.050688
T466,0,-0.050060
T479,0,-0.050060
T453,0,-0.049751
T376,0,-0.049751
T389,0,-0.050039
T529,0,-0.049731
T788,0,-0.050655
T405,0,-0.050344
T66,0,-0.049585
T696,0,-0.049585
T218,0,-0.050039
T847,0,-0.050039
T161,0,-0.050039
T186,0,-0.050039
T810,0,-0.050039
T107,0,-0.050974
T892,0,-0.050244
T985,0,-0.050039
T881,0,-0.050039
T740,0,-0.050039
T635,0,-0.050039
T155,0,-0.049418
T736,0,-0.050310
T383,0,-0.050040
T669,0,-0.050040
T314,0,-0.050040
T215,0,-0.050255
T693,0,-0.050255
T454,0,-0.050352
T829,0,-0.050352
T504,0,-0.050352
T140,0,-0.049602
T973,0,-0.049909
T148,0,-0.049602
T196,0,-0.049602
T328,0,-0.049299
