# Taxon Label, Partition Group (0 or 1), Fiedler Value
T1169,0,-0.001867
T421,0,-0.001867
T1725,0,-0.001867
T1847,0,-0.001867
T966,0,-0.001867
T1505,0,-0.001867
T10,0,-0.001867
T1366,0,-0.001867
T2937,0,-0.001867
T1135,0,-0.001867
T2596,0,-0.001867
T1002,0,-0.001866
T1136,1,0.001991
T362,1,0.001989
T42,1,0.001994
T1121,1,0.001989
T2575,1,0.001989
T1584,1,0.001988
T2862,1,0.001989
T1472,1,0.001997
T1133,1,0.001997
T1517,1,0.001997
T24,1,0.001997
T997,1,0.001997
T2033,1,0.001997
T1608,1,0.001997
T2615,1,0.001996
T115,1,0.001996
T858,1,0.002005
T560,1,0.002005
T2460,1,0.002005
T1197,1,0.002005
T564,1,0.002005
T2302,1,0.002005
T1862,1,0.002016
T2476,1,0.002015
T2904,1,0.003078
T326,1,0.003078
T1749,1,0.003078
T387,1,0.003078
T839,1,0.002939
T2753,1,0.004593
T195,1,0.004590
T13,1,0.004590
T2480,1,0.004588
T2113,1,0.010066
T2300,1,0.010059
T56,1,0.010059
T528,0,-0.005172
T148,0,-0.005171
T650,0,-0.011624
T1908,0,-0.011625
T960,0,-0.011498
T1838,0,-0.011518
T2370,0,-0.000127
T2725,0,-0.000126
T1187,0,-0.000126
T1141,0,-0.000130
T474,0,-0.000130
T2089,0,-0.000128
T2055,0,-0.000128
T541,0,-0.000291
T2981,0,-0.000080
T1150,0,-0.000080
T2804,0,-0.000080
T2226,0,-0.000080
T909,0,-0.000080
T1915,0,-0.000077
T1549,0,-0.000077
T2112,0,-0.000119
T1474,0,-0.000119
T1849,0,-0.000119
T903,0,-0.000119
T1049,0,-0.000119
T617,0,-0.000119
T2282,0,-0.000118
T1988,0,-0.000118
T517,0,-0.000118
T1260,0,-0.000118
T2620,0,-0.000118
T1175,0,-0.000120
T1841,0,-0.000117
T2424,0,-0.000117
T1418,0,-0.000117
T1159,0,-0.000117
T131,0,-0.000117
T710,0,-0.000118
T1068,0,-0.000118
T391,0,-0.001658
T355,0,-0.004776
T273,0,-0.004726
T1417,0,-0.004724
T1568,0,-0.004724
T1706,0,-0.004725
T550,0,-0.004725
T937,0,-0.004728
T2608,0,-0.004728
T1907,0,-0.004727
T2685,0,-0.004727
T1028,0,-0.004717
T2307,0,-0.004722
T1673,0,-0.004684
T1768,0,-0.004684
T1587,0,-0.004684
T2072,0,-0.004684
T1623,0,-0.004684
T522,0,-0.004683
T2251,0,-0.004684
T1939,0,-0.004683
T945,0,-0.004683
T1335,0,-0.004683
T2746,0,-0.004683
T1048,0,-0.004682
T418,0,-0.004679
T878,0,-0.001848
T2504,0,-0.001848
T1757,1,0.009859
T703,1,0.009859
T2193,1,0.009859
T980,0,-0.004425
T1932,0,-0.004425
T1200,0,-0.004425
T506,0,-0.004456
T1579,0,-0.004456
T2242,0,-0.004456
T1992,0,-0.004454
T569,0,-0.004462
T1707,0,-0.004461
T1046,0,-0.004462
T593,0,-0.004461
T1254,0,-0.004462
T556,0,-0.004462
T1414,0,-0.004461
T1045,0,-0.004440
T630,0,-0.004439
T1895,0,-0.004440
T2814,0,-0.004416
T1212,0,-0.004416
T169,0,-0.004416
T698,0,-0.004419
T121,0,-0.004419
T2741,0,-0.004416
T1667,1,0.005982
T2758,1,0.005983
T1685,1,0.005983
T1402,1,0.005982
T2446,1,0.005997
T2945,1,0.005998
T2132,1,0.008942
T1766,1,0.008942
T1767,1,0.008950
T124,1,0.008950
T441,0,-0.005425
T1494,0,-0.005424
T967,0,-0.005429
T434,0,-0.005430
T685,0,-0.005452
T1485,1,0.001595
T435,1,0.001595
T363,1,0.000797
T2003,1,0.000796
T803,1,0.000796
T2964,1,0.000796
T1809,1,0.000796
T2274,1,0.000797
T735,1,0.000797
T1387,1,0.000797
T2039,1,0.000797
T35,1,0.000796
T1500,1,0.000796
T784,1,0.000796
T1794,1,0.000797
T1423,1,0.000797
T531,1,0.000797
T302,1,0.000797
T1917,1,0.002276
T2980,1,0.003168
T2121,1,0.003168
T2939,1,0.003168
T1720,1,0.003165
T456,1,0.003168
T1989,1,0.004420
T981,1,0.004420
T542,1,0.004420
T2334,1,0.004419
T2263,1,0.004420
T1449,1,0.004452
T200,1,0.004452
T1217,1,0.004451
T505,1,0.004452
T857,1,0.004453
T1891,0,-0.002195
T1551,0,-0.002198
T2872,0,-0.002202
T1266,0,-0.002200
T2785,0,-0.002301
T1405,0,-0.002301
T2882,0,-0.002301
T1351,0,-0.002301
T174,0,-0.002301
T232,0,-0.002355
T995,0,-0.002327
T1286,0,-0.002405
T509,0,-0.097573
T1528,0,-0.003180
T2532,0,-0.003179
T281,0,-0.003179
T2625,0,-0.003181
T2047,0,-0.003180
T1791,0,-0.003180
T67,0,-0.003180
T699,0,-0.003180
T642,0,-0.003196
T1345,0,-0.003182
T609,0,-0.003180
T2732,1,0.001155
T1441,0,-0.005897
T136,0,-0.005897
T2041,0,-0.005897
T1047,0,-0.005900
T1827,0,-0.005899
T2277,0,-0.005860
T2478,0,-0.005858
T2481,0,-0.001094
T208,0,-0.001094
T2188,0,-0.001094
T2092,0,-0.001094
T286,0,-0.007013
T1259,0,-0.007013
T230,0,-0.007013
T2605,0,-0.007013
T2075,0,-0.007013
T1946,0,-0.007013
T1634,0,-0.007398
T172,0,-0.007398
T44,0,-0.007399
T2436,0,-0.007399
T2433,0,-0.006952
T2962,0,-0.006975
T2053,0,-0.006975
T625,1,0.006083
T359,1,0.006079
T860,1,0.006078
T2056,1,0.006079
T2227,1,0.006078
T2246,1,0.006078
T2982,1,0.006091
T1032,1,0.006090
T1782,1,0.006089
T788,1,0.006192
T738,1,0.006194
T1162,1,0.006187
T1243,1,0.006187
T539,1,0.006186
T426,1,0.006186
T1264,1,0.006186
T2611,1,0.006186
T2972,0,-0.001672
T1736,0,-0.001674
T2743,0,-0.001676
T976,0,-0.002317
T1829,0,-0.003043
T394,0,-0.003042
T2337,0,-0.001562
T2549,0,-0.001562
T1511,0,-0.001562
T2673,0,-0.001563
T1614,0,-0.001562
T2208,0,-0.001562
T1234,0,-0.001562
T1717,0,-0.001563
T2636,0,-0.001562
T1603,0,-0.001562
T1958,0,-0.001562
T375,0,-0.001562
T773,0,-0.001562
T830,0,-0.001562
T2361,0,-0.001562
T899,0,-0.001562
T626,0,-0.001562
T194,0,-0.001562
T1986,0,-0.001562
T874,0,-0.001562
T2619,0,-0.001563
T1971,0,-0.001563
T2494,0,-0.001562
T1645,0,-0.001561
T1166,1,0.004388
T1222,1,0.004389
T950,0,-0.004696
T1010,0,-0.004698
T332,0,-0.004698
T2344,0,-0.004698
T17,1,0.006372
T2544,1,0.006789
T1657,1,0.007105
T2840,1,0.007121
T2936,0,-0.001730
