# Taxon Label, Partition Group (0 or 1), Fiedler Value
T2130,1,0.013617
T2540,1,0.013609
T1638,1,0.013588
T209,1,0.013609
T2824,1,0.013594
T1396,1,0.013602
T1629,1,0.013594
T669,1,0.013615
T2458,1,0.013622
T1381,1,0.013622
T1594,1,0.013615
T714,1,0.013622
T1151,1,0.013608
T2115,1,0.013615
T2858,1,0.013603
T1032,1,0.013596
T2309,1,0.013596
T1416,1,0.013616
T10,1,0.013616
T187,1,0.013616
T485,1,0.013601
T1599,1,0.013601
T1941,1,0.013608
T1012,1,0.013608
T1411,1,0.013601
T2678,1,0.013608
T2627,1,0.013608
T568,1,0.013608
T803,1,0.013601
T2185,1,0.013601
T646,1,0.013601
T2689,1,0.013608
T1478,1,0.013608
T2636,1,0.013601
T1110,1,0.013608
T1537,1,0.013608
T1754,1,0.013608
T2991,1,0.013608
T1778,1,0.013601
T2289,1,0.013594
T1884,1,0.013601
T1578,1,0.013608
T1832,1,0.013594
T643,1,0.013594
T574,1,0.013601
T746,1,0.013601
T1711,1,0.013615
T2879,1,0.013615
T2494,1,0.013615
T356,1,0.013615
T481,1,0.013615
T174,1,0.013610
T1441,1,0.013615
T2238,1,0.013594
T2043,1,0.013594
T837,1,0.013594
T1137,1,0.013594
T428,1,0.013594
T1214,1,0.013594
T2810,1,0.013633
T2922,1,0.013633
T1237,1,0.013626
T586,1,0.013634
T2259,1,0.013610
T866,1,0.013603
T2140,1,0.013609
T1945,1,0.013610
T2836,1,0.013610
T2568,1,0.013611
T966,1,0.013624
T2713,1,0.013624
T665,1,0.013617
T311,1,0.013617
T697,1,0.013624
T1516,1,0.013553
T2596,1,0.013546
T2661,1,0.013556
T1734,1,0.013563
T2709,1,0.013563
T2232,1,0.013556
T213,1,0.013556
T137,1,0.013541
T329,1,0.013556
T2664,1,0.013556
T27,1,0.013558
T2760,1,0.013545
T805,1,0.013559
T1153,1,0.013566
T1431,1,0.013544
T266,1,0.013552
T1014,1,0.013552
T338,1,0.013595
T1991,1,0.013588
T851,1,0.013532
T2451,1,0.013532
T2516,1,0.013538
