# Taxon Label, Partition Group (0 or 1), Fiedler Value
T1151,0,-0.000087
T1351,0,-0.000090
T2130,0,-0.000090
T299,0,-0.000089
T954,0,-0.000088
T372,0,-0.000088
T842,0,-0.000088
T1274,1,0.001913
T302,1,0.001915
T2019,1,0.001915
T2476,1,0.001916
T1944,1,0.001916
T1003,1,0.001916
T2963,1,0.001916
T2269,1,0.001916
T315,1,0.001915
T1360,1,0.001915
T1667,1,0.001915
T1237,1,0.001921
T2870,1,0.001921
T857,1,0.001921
T1034,1,0.001921
T541,1,0.001921
T923,1,0.001919
T1254,1,0.001919
T554,1,0.001918
T1731,1,0.001918
T1283,1,0.001918
T2401,1,0.001909
T2308,1,0.001909
T2527,1,0.001909
T2210,1,0.001909
T2655,1,0.001909
T600,1,0.001909
T543,1,0.001909
T2089,1,0.001909
T2902,1,0.001909
T2369,1,0.001909
T1236,1,0.001909
T1013,1,0.001909
T2027,1,0.001909
T2074,1,0.001911
T387,1,0.001911
T2744,1,0.001911
T1626,1,0.001910
T944,1,0.001910
T1247,1,0.001909
T294,1,0.001909
T1185,1,0.001909
T2734,1,0.001909
T1873,1,0.001909
T2294,1,0.001909
T290,1,0.001909
T2853,1,0.001909
T2615,1,0.001909
T142,1,0.001909
T625,1,0.001909
T1143,1,0.001909
T1807,1,0.001909
T1787,1,0.001909
T1329,1,0.001911
T134,1,0.001911
T898,1,0.001911
T1557,1,0.001911
T16,1,0.001911
T2701,1,0.001911
T2280,1,0.001910
T1396,1,0.001910
T1211,1,0.001910
T107,1,0.001910
T2425,1,0.001911
T2346,1,0.001911
T561,1,0.001911
T2003,1,0.001917
T2990,1,0.001917
T1705,1,0.001918
T55,1,0.001918
T1118,1,0.001918
T2722,1,0.001918
T1159,0,-0.000642
T242,0,-0.000642
T1493,0,-0.000642
T1826,1,0.002546
T2932,1,0.002546
T2063,1,0.002546
T1389,1,0.002546
T1467,1,0.002546
T1784,1,0.002546
T809,1,0.002346
T186,1,0.002528
T1748,1,0.002528
T2886,1,0.002527
T26,1,0.002683
T1023,1,0.002683
T2481,1,0.002468
T1139,1,0.002468
T719,1,0.002468
T2731,1,0.002468
T255,1,0.002468
T1294,1,0.002468
T2267,1,0.002468
T79,1,0.002468
T86,1,0.002468
T808,1,0.002468
T646,1,0.002468
T1919,1,0.002468
T514,1,0.002468
T2152,1,0.002468
T2632,1,0.002718
T1491,1,0.002718
T1934,1,0.002717
T2807,1,0.002717
T1094,1,0.003059
T875,1,0.003059
T1404,1,0.003059
T1446,1,0.003059
T1268,1,0.003059
T1242,1,0.003060
T1496,1,0.003060
T2227,1,0.003059
T1439,1,0.003059
T1221,1,0.003059
T1606,1,0.003059
T1790,1,0.003059
T1566,1,0.003060
T1426,1,0.003060
T1337,1,0.003060
T1809,1,0.003060
T1138,1,0.003060
T2848,1,0.003060
T2819,1,0.003059
T341,1,0.003059
T2694,1,0.003059
T1983,1,0.003059
T2936,1,0.003059
T2838,1,0.003059
T382,1,0.003059
T1776,1,0.003060
T2375,1,0.003059
T2913,1,0.003059
T1707,1,0.003059
T1018,1,0.003059
T1751,1,0.003059
T2284,1,0.003059
T1816,1,0.003059
T2007,1,0.003058
T753,1,0.003058
T1227,1,0.003058
T436,1,0.003058
T1423,1,0.003058
T1053,1,0.003057
T624,1,0.003058
T731,1,0.003058
T2098,1,0.003058
T1663,1,0.003058
T825,1,0.003058
T366,0,-0.001176
T2652,0,-0.001176
T1726,0,-0.001176
T1937,0,-0.001176
T2982,0,-0.001176
T920,0,-0.001176
T2215,0,-0.001177
T386,0,-0.001177
T490,0,-0.001176
T2945,0,-0.001176
T155,0,-0.001176
T1162,0,-0.001176
T2371,0,-0.001176
T2693,0,-0.001176
T2147,0,-0.009912
T2508,0,-0.009912
T1154,0,-0.009912
T2574,0,-0.009912
T2211,0,-0.009911
T910,0,-0.009911
T1225,0,-0.009911
T615,1,0.002306
T2883,1,0.002306
T57,1,0.002306
T189,1,0.002306
T1955,1,0.002306
T684,1,0.002306
T2223,1,0.002306
T2843,1,0.002306
T1737,1,0.002306
T1979,1,0.002306
T1958,1,0.002306
T2601,1,0.002306
T1711,1,0.002306
T2567,1,0.002306
T948,1,0.002306
T1910,1,0.002306
T815,1,0.002306
T2742,1,0.002306
T769,0,-0.000858
T1795,0,-0.000858
T2751,0,-0.000858
T2711,0,-0.000858
T1522,0,-0.000858
T627,0,-0.000858
T587,0,-0.000858
T2679,0,-0.000858
T2498,0,-0.000859
T2748,0,-0.000859
T2555,0,-0.000859
T2762,0,-0.000858
T2702,0,-0.000858
T297,0,-0.000858
T1208,0,-0.000859
T1941,0,-0.000859
T860,0,-0.000858
T1898,0,-0.000858
T2887,0,-0.000858
T991,0,-0.000858
T2473,0,-0.000858
T1872,0,-0.000867
T963,0,-0.000867
T619,0,-0.000155
T1108,1,0.013184
T1266,1,0.013184
T1926,1,0.013180
T2418,1,0.013181
T1331,1,0.013180
T2871,1,0.013180
T2988,1,0.013180
T1447,1,0.013181
T253,1,0.013180
T2916,1,0.013180
T1652,1,0.013180
T1021,1,0.012323
T2930,1,0.012323
T555,0,-0.003310
T1879,0,-0.003309
T527,0,-0.003328
T1388,0,-0.003315
T1729,0,-0.000917
T106,0,-0.000916
T1105,0,-0.000916
T225,0,-0.000916
T1622,0,-0.000916
T1640,0,-0.000916
T2470,0,-0.000917
T645,0,-0.000917
T953,0,-0.000918
T421,0,-0.000917
T1620,0,-0.000917
T2024,0,-0.000917
T2667,0,-0.000917
T2278,0,-0.000917
T966,0,-0.000918
T2765,0,-0.000918
T1187,0,-0.000918
T2590,0,-0.000918
T1244,0,-0.000904
T955,0,-0.000904
T1502,0,-0.002598
T928,0,-0.002598
T1379,0,-0.002598
T2831,0,-0.002598
T2855,0,-0.002598
T2402,0,-0.002598
T2244,0,-0.002598
T407,0,-0.002598
T2579,0,-0.002598
T222,0,-0.002598
T393,0,-0.002588
T873,0,-0.000793
T2187,0,-0.000793
T2387,0,-0.000793
T2086,0,-0.000793
T1942,0,-0.000793
T752,0,-0.000793
T739,0,-0.000793
T1259,0,-0.000793
T256,0,-0.000793
T2185,0,-0.000794
T2975,0,-0.000794
T477,0,-0.000794
T212,0,-0.000794
T662,0,-0.000794
T1520,0,-0.000794
T2603,0,-0.000794
T1206,0,-0.000794
T35,0,-0.000794
T787,0,-0.000794
T599,0,-0.000794
T2940,0,-0.000794
T992,0,-0.001044
T2681,0,-0.001044
T1353,0,-0.001044
T1545,0,-0.001044
T2880,0,-0.001044
T536,0,-0.001044
T1576,0,-0.001044
T904,0,-0.001044
T1350,0,-0.001044
T518,0,-0.001044
T1113,0,-0.001044
T2263,0,-0.000559
T1849,0,-0.000559
T198,0,-0.000559
T2724,0,-0.000559
T2456,0,-0.000559
T925,0,-0.000559
T182,0,-0.000559
T109,0,-0.000559
T2877,0,-0.000559
T2301,0,-0.000559
T529,0,-0.000559
T1478,0,-0.000559
T473,0,-0.000559
T2174,0,-0.000559
T709,0,-0.000559
T690,0,-0.000559
T1408,0,-0.000559
T580,0,-0.000559
T151,0,-0.000559
T501,0,-0.000559
T2892,0,-0.000559
T1736,0,-0.000559
T1089,0,-0.000559
T1535,0,-0.000559
T2800,0,-0.000559
T861,0,-0.000559
T1299,0,-0.000559
T1617,0,-0.000559
T2179,0,-0.000559
T1614,0,-0.000559
T1561,0,-0.000559
T2255,0,-0.000559
T27,0,-0.000559
T2561,0,-0.000559
T2066,0,-0.000559
T1475,0,-0.000559
T1764,0,-0.000559
T2029,0,-0.000559
T1698,0,-0.000559
T2100,0,-0.000559
T304,0,-0.000559
T261,0,-0.000559
T369,0,-0.000559
T2324,0,-0.000559
T60,0,-0.000559
T732,0,-0.000560
T2151,0,-0.000559
T1076,0,-0.000559
T1218,0,-0.000559
T1340,0,-0.000559
T2631,0,-0.000559
T1810,0,-0.000559
T1444,0,-0.000559
T714,0,-0.000559
T976,0,-0.000559
T621,0,-0.000559
T1390,0,-0.000559
T4,0,-0.000559
T1552,0,-0.000559
T229,0,-0.000559
T1368,0,-0.000559
T266,0,-0.000559
T2069,0,-0.000559
T1321,0,-0.000559
T344,0,-0.000559
T748,0,-0.000559
T811,0,-0.000559
T663,0,-0.000559
T1487,0,-0.000559
T2196,0,-0.000559
T1612,0,-0.000559
T249,0,-0.000559
T1007,0,-0.000559
T384,0,-0.000559
T623,0,-0.000559
T2695,0,-0.000559
T2050,0,-0.000559
T2650,0,-0.000559
T1365,0,-0.000559
T1525,0,-0.000559
T488,0,-0.000559
T447,0,-0.000559
T2676,0,-0.000559
T659,0,-0.000559
T111,1,0.002423
T1585,1,0.002423
T2802,1,0.002423
T1059,1,0.002423
T457,1,0.002423
T2587,1,0.002422
T307,1,0.002423
T370,1,0.002423
T785,1,0.002423
T2158,1,0.002424
T2268,1,0.002424
T345,1,0.002423
T403,1,0.002423
T1859,1,0.002423
T1088,1,0.002423
T1600,1,0.002423
T1783,1,0.002423
T2510,1,0.002423
T320,1,0.002423
T1171,1,0.002424
T257,1,0.002424
T1685,1,0.002423
T2028,1,0.002423
T1073,0,-0.003821
T360,0,-0.003821
T354,0,-0.003821
T2599,0,-0.003821
T544,0,-0.003821
T2475,0,-0.003821
T2594,0,-0.003821
T1986,0,-0.003820
T15,0,-0.003821
T2424,1,0.002506
T420,1,0.002506
T1054,1,0.002506
T1420,1,0.002506
T334,1,0.002506
T282,1,0.002506
T2390,1,0.002506
T565,1,0.002506
T1536,1,0.002506
T273,1,0.002699
T2439,1,0.002699
T1863,1,0.002699
T398,1,0.002214
T596,1,0.002214
T511,1,0.002214
T1002,1,0.002214
T1991,1,0.002214
T573,1,0.002214
T276,1,0.002214
T1499,1,0.002214
T172,1,0.002214
T1057,1,0.002214
T2582,1,0.002214
T2466,1,0.002214
T2851,1,0.002214
T1042,1,0.002214
T2903,1,0.002214
T1560,1,0.002214
T58,1,0.002214
T1969,1,0.002218
T64,1,0.002217
T890,1,0.002217
T867,1,0.002217
T125,1,0.002229
T1517,1,0.002230
T1918,1,0.002236
T112,1,0.002236
T1905,1,0.002223
T1601,1,0.002223
T1099,1,0.002221
T843,1,0.002221
T1933,1,0.002221
T1364,1,0.002212
T2495,1,0.002212
T1590,1,0.002212
T140,1,0.002203
T1728,1,0.002203
T742,1,0.002203
T2030,1,0.002203
T1551,1,0.002202
T1888,1,0.002207
T607,1,0.002208
T1126,1,0.002208
T272,1,0.002207
T2106,1,0.002211
T2844,1,0.002211
T1720,1,0.002211
T634,1,0.002211
T558,1,0.002211
T1038,1,0.002211
T287,1,0.002213
T1433,1,0.002213
T2469,1,0.002213
T2714,1,0.002213
T1608,1,0.002213
T359,1,0.002213
T2554,1,0.001191
T7,1,0.003506
T2720,1,0.003506
T25,1,0.003506
T1300,1,0.003506
T1155,1,0.003506
T1591,1,0.003506
T2568,1,0.003506
T1033,1,0.003506
T849,1,0.003506
T2230,1,0.003506
T1024,1,0.003506
T1062,1,0.003506
T2186,1,0.003506
T356,1,0.003506
T2919,1,0.003506
T1700,1,0.003506
T2511,1,0.003533
T2260,1,0.003635
T2703,1,0.003635
T962,1,0.003643
T695,1,0.003643
T497,1,0.003643
T2161,1,0.003643
T2240,1,0.003643
T2745,1,0.003643
T683,1,0.003643
T799,1,0.003643
T1278,1,0.003643
T773,1,0.003643
T2338,1,0.006574
T1570,1,0.006574
T838,1,0.006575
T14,1,0.006575
T733,1,0.006576
T2146,1,0.006576
T2356,1,0.006576
T1812,1,0.006576
T2035,1,0.006576
T1534,1,0.006576
T616,1,0.006576
T609,1,0.006576
T361,1,0.006575
T638,1,0.006574
T1488,1,0.006575
T2861,1,0.006575
T293,1,0.006576
T1216,1,0.006576
T2310,1,0.006576
T466,1,0.006576
T1213,1,0.006576
T743,1,0.006576
T2621,1,0.001189
T119,1,0.001190
T1939,1,0.001190
T2874,1,0.001293
T37,1,0.001294
T1200,1,0.001309
T1359,1,0.001309
T1345,1,0.001402
T1894,1,0.001402
T2479,1,0.001403
T888,1,0.001402
T970,1,0.001402
T124,1,0.001402
T415,1,0.001402
T1647,1,0.001402
T223,1,0.001402
T1275,1,0.001402
T213,1,0.001402
T2972,1,0.001402
T1981,1,0.001402
T611,1,0.001402
T96,1,0.001402
T1136,1,0.001402
T196,1,0.001402
T1485,1,0.001403
T143,1,0.001403
T2648,1,0.001403
T822,1,0.001403
T1079,1,0.001403
T670,1,0.001403
T2674,1,0.000776
T655,1,0.000776
T996,1,0.000776
T2696,1,0.000776
T817,1,0.000776
T146,1,0.000776
T588,1,0.000776
T2983,1,0.000776
T1725,1,0.000776
T1890,1,0.000774
T46,1,0.000777
T567,1,0.000777
T2102,1,0.000778
T2657,1,0.000778
T2691,1,0.000778
T77,1,0.000778
T446,1,0.000778
T2015,1,0.000778
T884,1,0.000778
T2959,1,0.000778
T2671,1,0.000778
T667,1,0.000778
T547,1,0.000145
T1277,1,0.000145
T1648,1,0.000145
T2581,1,0.000145
T1020,1,0.000147
T768,1,0.000147
T1821,1,0.000147
T1001,1,0.000147
T854,1,0.000147
T1245,1,0.000147
T1107,1,0.000147
T1945,0,-0.000275
T2685,0,-0.000275
T2604,0,-0.000275
T1224,0,-0.000275
T2368,0,-0.000275
T2440,0,-0.000275
T2948,0,-0.000275
T100,0,-0.000275
T427,0,-0.000275
T231,0,-0.000275
T2412,0,-0.000275
T482,0,-0.000275
T1767,0,-0.000275
T880,0,-0.000275
T110,0,-0.000275
T1019,0,-0.000275
T2277,0,-0.000275
T2352,0,-0.000275
T2575,0,-0.000010
T993,0,-0.000010
T1864,0,-0.000010
T159,0,-0.000010
T2410,0,-0.000010
T211,0,-0.000010
T835,0,-0.000010
T2766,0,-0.000010
T1179,0,-0.000011
T2682,0,-0.000011
T869,0,-0.000049
T1264,0,-0.000050
T1973,0,-0.000050
T950,0,-0.000050
T840,0,-0.000050
T1470,0,-0.000050
T1555,0,-0.000050
T1877,0,-0.000051
T1611,0,-0.000200
T1887,0,-0.000200
T503,0,-0.000200
T1837,0,-0.000200
T1481,0,-0.000200
T721,0,-0.000200
T913,0,-0.000200
T710,0,-0.000200
T845,0,-0.000200
T1901,0,-0.000200
T984,0,-0.000200
T1792,0,-0.000200
T2796,0,-0.000200
T1492,0,-0.000200
T449,0,-0.000200
T613,0,-0.000200
T2606,0,-0.000200
T17,0,-0.000200
T2443,0,-0.000200
T504,0,-0.000200
T1628,0,-0.000200
T495,0,-0.000199
T1267,0,-0.000199
T2072,0,-0.000199
T201,0,-0.000199
T173,0,-0.000199
T1333,0,-0.000199
T1086,0,-0.000200
T423,1,0.000529
T2234,1,0.000540
T620,1,0.000540
T2073,1,0.000540
T1953,1,0.000540
T2279,1,0.000540
T937,1,0.000540
T1234,1,0.000540
T185,1,0.000494
T379,1,0.000494
T2629,1,0.000373
T329,1,0.000369
T2462,1,0.000368
T496,1,0.000377
T2771,1,0.000377
T408,1,0.000377
T306,1,0.000108
T2320,1,0.000108
T1854,1,0.000107
T2075,1,0.000108
T44,1,0.000107
T2750,1,0.000107
T383,1,0.000107
T2955,1,0.000107
T2091,1,0.000107
T1530,1,0.000107
T1589,1,0.000107
T1690,1,0.000109
T2259,1,0.000109
T1562,1,0.000109
T741,1,0.000109
T833,1,0.000107
T777,1,0.000107
T2293,1,0.000107
T343,1,0.000108
T2054,1,0.000108
T1889,1,0.000110
T284,1,0.000110
T2882,1,0.000110
T1911,1,0.000110
T1912,1,0.000110
T183,1,0.000106
T2909,1,0.000106
T636,1,0.000106
T1861,1,0.000108
T130,1,0.000108
T2987,1,0.000105
T1573,1,0.000105
T131,1,0.000106
T689,1,0.000110
T2980,1,0.000108
T47,1,0.000108
T2651,1,0.000109
T1166,0,-0.000704
T915,0,-0.000704
T1518,0,-0.000704
T1963,0,-0.000704
T858,0,-0.000704
T1721,0,-0.000704
T1098,0,-0.000704
T1946,0,-0.000704
T66,0,-0.000704
T178,0,-0.000704
T2134,1,0.001419
T2964,0,-0.002124
T463,0,-0.002124
T516,0,-0.002125
T1914,0,-0.002125
T935,0,-0.002125
T994,0,-0.002134
T210,0,-0.002134
T2850,0,-0.002134
T987,0,-0.002134
T2821,0,-0.002134
T1815,0,-0.002134
T1699,1,0.002128
T1083,1,0.002128
T2837,1,0.002128
T40,1,0.002128
T2429,1,0.002128
T612,0,-0.000724
T180,0,-0.000725
T1039,0,-0.000724
T2521,0,-0.000724
T28,0,-0.000722
T837,0,-0.000722
T2394,0,-0.000722
T2782,0,-0.000722
T227,0,-0.000722
T2548,0,-0.000722
T2984,0,-0.000722
T1727,0,-0.000722
T1732,0,-0.000722
T1871,0,-0.000722
T2057,0,-0.000722
T1718,0,-0.000722
T1170,0,-0.000722
T91,0,-0.000722
T1701,0,-0.000722
T566,0,-0.000722
T2559,0,-0.000722
T1441,0,-0.000722
T1370,0,-0.000722
T303,0,-0.000722
T1532,0,-0.000722
T2965,0,-0.000722
T1455,0,-0.000722
T506,0,-0.000722
T1222,0,-0.000722
T2525,0,-0.000722
T1829,0,-0.000722
T2014,0,-0.000722
T2238,0,-0.000722
T539,0,-0.000722
T326,0,-0.000722
T1111,0,-0.000722
T456,0,-0.000722
T958,0,-0.000722
T153,0,-0.000722
T39,0,-0.000722
T230,0,-0.000722
T1717,0,-0.000722
T574,0,-0.000722
T41,0,-0.000722
T2804,0,-0.000722
T851,0,-0.000722
T99,0,-0.000722
T1603,0,-0.000722
T1287,0,-0.000722
T2487,0,-0.000722
T1756,0,-0.000722
T409,0,-0.000722
T1158,0,-0.000722
T2093,0,-0.000722
T2314,0,-0.000722
T1833,0,-0.000722
T2266,0,-0.000722
T402,0,-0.000722
T1096,0,-0.000722
T1646,0,-0.000722
T2721,0,-0.000722
T2452,0,-0.000721
T270,0,-0.000721
T1610,1,0.001168
T2112,1,0.001168
T924,1,0.001168
T1947,1,0.001168
T1740,1,0.001167
T2949,1,0.001169
T2467,1,0.001169
T2908,1,0.001169
T570,1,0.001169
T123,1,0.001169
T1615,1,0.001168
T2183,1,0.001575
T1472,1,0.001583
T1427,1,0.001575
T1553,1,0.001574
T478,1,0.001574
T783,1,0.001581
T2058,1,0.001581
T2455,1,0.001582
T754,1,0.001582
T319,1,0.001582
T417,1,0.001582
T971,1,0.001582
T1349,1,0.001582
T2224,1,0.001088
T2656,1,0.001103
T74,1,0.001027
T1135,1,0.001027
T2300,1,0.001027
T267,1,0.001027
T199,1,0.003291
T1878,1,0.003291
T583,1,0.003291
T1009,1,0.003291
T2865,1,0.003291
T781,1,0.003291
T2830,1,0.003292
T2202,1,0.003292
T1907,1,0.003292
T1212,1,0.003292
T902,1,0.001759
T1668,1,0.001759
T2938,1,0.001759
T235,1,0.001759
T1301,1,0.001759
T2805,1,0.001759
T1343,1,0.001759
T129,1,0.001759
T919,1,0.001759
T283,1,0.001759
T1917,1,0.001759
T1243,0,-0.000440
T311,0,-0.000440
T83,0,-0.000440
T147,0,-0.000440
T2580,0,-0.000440
T240,0,-0.000440
T2781,0,-0.000440
T1189,0,-0.000435
T2618,0,-0.000435
T1940,0,-0.039159
T2006,0,-0.039187
T195,0,-0.039188
T2895,0,-0.039187
T2509,0,-0.039187
T2558,0,-0.039186
T2272,0,-0.039169
T355,1,0.001024
T2242,1,0.001024
T666,1,0.001024
T1730,1,0.001023
T2931,1,0.001023
T422,1,0.001023
T2178,1,0.001023
T649,1,0.001023
T641,1,0.001023
T1431,1,0.001023
T2142,1,0.001023
T1429,1,0.001023
T2048,1,0.001023
T1605,1,0.001023
T2355,1,0.001023
T2799,1,0.001023
T1336,1,0.001023
T1233,1,0.001023
T2023,1,0.001023
T1547,1,0.001023
T766,1,0.001023
T2709,1,0.001023
T2140,1,0.001023
T901,1,0.001023
T1962,1,0.001023
T301,1,0.001023
T2039,1,0.001023
T1689,1,0.001023
T1029,1,0.001023
T1909,1,0.001023
T2513,1,0.001023
T1256,1,0.001022
T1269,1,0.001022
T1908,1,0.001022
T1041,1,0.001023
T1280,1,0.001023
T2608,1,0.001023
T2915,1,0.001023
T2081,1,0.001023
T1906,1,0.001023
T2927,1,0.001023
T2331,1,0.001023
T2038,1,0.001023
T2524,1,0.001023
T538,1,0.001023
T1995,1,0.001023
T1775,1,0.001023
T945,1,0.001023
T2363,1,0.001023
T2553,1,0.001023
T1876,1,0.001023
T606,1,0.001023
T19,1,0.001023
T2885,1,0.001023
T2906,1,0.001023
T2235,1,0.001022
T1975,1,0.001023
T1430,1,0.001023
T1785,1,0.001023
T1442,1,0.001023
T2747,1,0.001023
T909,1,0.001023
T98,1,0.001023
T1296,1,0.001023
T1032,1,0.001023
T139,1,0.001022
T1220,1,0.001022
T997,1,0.001022
T2626,1,0.001022
T2668,1,0.001022
T2237,1,0.002370
T71,1,0.002370
T1769,1,0.002370
T2540,1,0.002370
T2175,1,0.002370
T1286,1,0.002370
T1445,1,0.002369
T2323,1,0.002369
T1523,1,0.002369
T2659,1,0.002368
T546,1,0.002368
T672,1,0.002368
T1595,1,0.002368
T2389,1,0.002367
T489,1,0.002368
T1262,1,0.002367
T564,1,0.002367
T1796,1,0.002367
T2208,1,0.002367
T2432,1,0.002367
T926,1,0.002367
T291,1,0.002367
T680,1,0.002367
T1253,1,0.002367
T1125,1,0.002367
T1270,1,0.002367
T2950,1,0.002367
T2829,1,0.002367
T2484,1,0.002367
T2860,1,0.002367
T2884,1,0.002367
T2757,1,0.002367
T1452,1,0.002367
T940,1,0.002367
T889,1,0.002367
T381,1,0.002367
T1847,1,0.002367
T2426,1,0.002367
T1183,1,0.002367
T682,1,0.002367
T2928,1,0.002367
T775,1,0.002367
T2288,1,0.002367
T774,1,0.002367
T2812,1,0.002367
T1501,1,0.002367
T735,1,0.002367
T2687,1,0.002367
T758,1,0.002367
T1670,1,0.002367
T2953,1,0.002367
T219,1,0.002366
T930,1,0.002366
T2712,1,0.002366
T1346,1,0.002366
T1040,1,0.002596
T62,1,0.002596
T1722,1,0.002596
T1808,1,0.002596
T2661,1,0.002596
T2306,1,0.002596
T586,1,0.002596
T2446,1,0.002596
T2586,1,0.002596
T1825,1,0.002596
T644,1,0.002596
T296,1,0.002596
T2735,1,0.002596
T389,1,0.002596
T2135,1,0.002596
T2630,1,0.002596
T2866,1,0.002596
T961,1,0.002596
T1203,1,0.002596
T2413,1,0.002596
T36,1,0.002596
T2204,1,0.002596
T1655,1,0.002593
T1450,1,0.002594
T2094,1,0.002593
T2485,1,0.002595
T148,1,0.002595
T1318,1,0.002594
T1310,1,0.002594
T759,1,0.002505
T1090,1,0.002505
T560,1,0.002505
T2365,1,0.002506
T533,1,0.002506
T114,1,0.002508
T1765,1,0.002508
T349,1,0.002501
T1850,1,0.002501
T364,1,0.002627
T897,1,0.002627
T2289,1,0.002627
T2283,1,0.002646
T1516,1,0.002646
T515,1,0.002646
T1814,1,0.002646
T1855,1,0.002655
T1886,1,0.002654
T1823,1,0.002656
T2333,1,0.002656
T1839,1,0.002165
T1804,1,0.002165
T1571,1,0.002165
T836,1,0.002165
T848,1,0.002165
T2592,1,0.002165
T550,1,0.002165
T2148,1,0.002165
T1411,1,0.002166
T2496,1,0.002166
T271,1,0.002166
T1563,1,0.002166
T1043,1,0.002166
T765,1,0.002131
T2707,1,0.002131
T2783,1,0.002131
T61,1,0.002131
T20,1,0.002131
T132,1,0.002131
T2200,1,0.002131
T2141,1,0.002131
T1851,1,0.002131
T2233,1,0.002131
T2367,1,0.002131
T2078,1,0.002131
T2623,1,0.002131
T592,1,0.002131
T647,1,0.002131
T1564,1,0.002132
T1011,1,0.002131
T1862,1,0.002131
T352,1,0.002131
T2803,1,0.002131
T2212,1,0.002132
T728,1,0.002132
T2273,1,0.002132
T1195,1,0.002132
T1531,1,0.002131
T103,1,0.002131
T2493,1,0.002131
T2536,1,0.000167
T2868,1,0.000167
T2614,1,0.000167
T1578,1,0.000167
T2622,1,0.000166
T1434,1,0.000166
T1387,1,0.000165
T617,1,0.000165
T934,1,0.000165
T534,1,0.000165
T2309,1,0.000165
T1458,1,0.000164
T2956,1,0.000163
T1112,1,0.000163
T340,1,0.000164
T2943,1,0.000162
T451,1,0.000162
T2698,1,0.000421
T2222,1,0.000420
T1745,1,0.000379
T999,1,0.000379
T1867,1,0.000379
T1260,1,0.000379
T2854,1,0.000378
T1048,1,0.000378
T2114,1,0.000378
T2894,1,0.000376
T1417,1,0.000376
T2989,1,0.000376
T1988,1,0.000376
T1631,1,0.000376
T1838,1,0.000376
T2542,1,0.000376
T226,1,0.000376
T1978,1,0.000377
T1930,1,0.000377
T1391,1,0.000377
T1022,1,0.000377
T2825,1,0.000377
T2973,1,0.000377
T1012,1,0.000377
T1921,1,0.000377
T2411,1,0.000377
T1101,1,0.000376
T2403,1,0.000376
T2067,1,0.005864
T1504,1,0.005864
T269,1,0.005864
T1629,1,0.005864
T2044,1,0.005864
T800,1,0.005864
T1188,1,0.005864
T312,1,0.005864
T584,1,0.005864
T2952,1,0.005864
T2136,1,0.005864
T1214,1,0.005864
T2609,1,0.005864
T2170,1,0.005863
