# Taxon Label, Partition Group (0 or 1), Fiedler Value
T1666,1,-0.018257
T1800,1,-0.018257
T726,1,-0.018257
T2021,1,-0.018257
T2976,1,-0.018257
T1325,1,-0.018257
T427,1,-0.018257
T1627,1,-0.018257
T663,1,-0.018257
T1029,1,-0.018257
T721,1,-0.018257
T2282,1,-0.018257
T2103,1,-0.018257
T2812,1,-0.018257
T417,1,-0.018257
T2661,1,-0.018257
T1102,1,-0.018257
T2905,1,-0.018257
T564,1,-0.018257
T1775,1,-0.018257
T1341,1,-0.018257
T1048,1,-0.018257
T1756,1,-0.018257
T1913,1,-0.018257
T2061,1,-0.018257
T2461,1,-0.018257
T176,1,-0.018257
T2228,1,-0.018257
T440,1,-0.018257
T1393,1,-0.018257
T2410,1,-0.018257
T2224,1,-0.018257
T2326,1,-0.018257
T1971,1,-0.018257
T2328,1,-0.018257
T534,1,-0.018257
T1588,1,-0.018257
T2195,1,-0.018257
T312,1,-0.018257
T1717,1,-0.018257
T1985,1,-0.018257
T1394,1,-0.018257
T2795,1,-0.018257
T1391,1,-0.018257
T2710,1,-0.018257
T601,1,-0.018257
T2083,1,-0.018257
T1367,1,-0.018257
T961,1,-0.018257
T214,1,-0.018257
T2751,1,-0.018257
T1566,1,-0.018257
T1324,1,-0.018257
T2655,1,-0.018257
T1279,1,-0.018257
T2551,1,-0.018257
T1609,1,-0.018257
T2242,1,-0.018257
T2739,1,-0.018257
T2057,1,-0.018257
T1644,1,-0.018257
T2829,1,-0.018257
T437,1,-0.018257
T57,1,-0.018257
T919,1,-0.018257
T2094,1,-0.018257
T976,1,-0.018257
T1139,1,-0.018257
T1252,1,-0.018257
T2865,1,-0.018257
T1845,1,-0.018257
T2118,1,-0.018257
T1159,1,-0.018257
T850,1,-0.018257
T1682,1,-0.018257
T2628,1,-0.018257
T666,1,-0.018257
T2721,1,-0.018257
T1130,1,-0.018257
T1986,1,-0.018257
T500,1,-0.018257
T1216,1,-0.018257
T1021,1,-0.018257
T2204,1,-0.018257
T2612,1,-0.018257
T917,1,-0.018257
T802,1,-0.018257
T1828,1,-0.018257
T2876,1,-0.018257
T1668,1,-0.018257
T2802,1,-0.018257
T900,1,-0.018257
T2821,1,-0.018257
T388,1,-0.018257
T2351,1,-0.018257
T515,1,-0.018257
T670,1,-0.018257
T2073,1,-0.018257
T2309,1,-0.018257
T558,1,-0.018257
T247,1,-0.018257
T291,1,-0.018257
T468,1,-0.018257
T538,1,-0.018257
T2448,1,-0.018257
T1840,1,-0.018257
T2134,1,-0.018257
T516,1,-0.018257
T2485,1,-0.018257
T1973,1,-0.018257
T2005,1,-0.018257
T706,1,-0.018257
T1545,1,-0.018257
T422,1,-0.018257
T1774,1,-0.018257
T930,1,-0.018257
T229,1,-0.018257
T540,1,-0.018257
T2264,1,-0.018257
T2934,1,-0.018257
T860,1,-0.018257
T1770,1,-0.018257
T1428,1,-0.018257
T2497,1,-0.018257
T1767,1,-0.018257
T5,1,-0.018257
T2584,1,-0.018257
T2807,1,-0.018257
T1140,1,-0.018257
T371,1,-0.018257
T1158,1,-0.018257
